Seasons,Footballers,Teams/Clubs
2019,Safawi Rasid,Johor Darul Ta'zim F.C
2018,Akhyar Rashid,Kedah FA
2017,Shahrel Fikri,PKNP F.C
2016,Ahmad Hazwan Bakri,Selangor FA
2015,Mohd Amri Yahyah,Johor Darul Ta'zim F.C
2014,Nor Farhan Muhammad,Terengganu FA
2013,Nor Farhan Muhammad,Kelantan FA
2012,Norshahrul Idlan Talaha,Kelantan FA
2011,Norshahrul Idlan Talaha,Kelantan FA
2010,Norshahrul Idlan Talaha,Kelantan FA
2009,Indra Putra Mahayuddin,Kelantan FA
2007-08,Liew Kit Kong,Kuala Muda Naza FC
2006-07,Muhamad Khalid Jamlus,Perak FA
2005-06,Rudie Ramli,TM FC
