Year,Film,Role,Cast,Direction
1976,Thoorpu Padamara,,"Narasimha Raju , Mohan Babu",Dasari Narayana Rao
1977,Amara Deepam,Madhavi,"Krishnam Raju , Jayasudha",K.Raghavendra Rao
1978,Maro Charitra,Sandhya,"Kamal Haasan , Saritha",Balachander
1979,Iddaru Asadhyule,,"Krishna , Rajinikanth , Geetha , Sowcar Janaki",K. S. R. Das
1979,Pranam Khareedu,Venkatalakshmi,"Chiranjeevi , Rao Gopal Rao , Jayasudha",K. Vasu
1979,Tayaramma Bangarayya,Aruna,"Chiranjeevi , Kaikala Satyanarayana , Sowcar Janaki",Kommineni Seshagiri Rao
1979,Kukka Katuku Cheppu Debba,Parvati,Chiranjeevi,E. Ramki Sharma
1979,Kothala Raayudu,,Chiranjeevi,K. Vasu
1979,Mande Gundelu,Rani,,
1979,Edi papam Edi Punyam,Aruna,,
1979,Oka Challani Ratri,Nirmala,,
1979,Anthuleni Vintha Katha,,"Narasimharaju , Manju Bhargavi , Jayanthi , Srividya",Mohan Das
1979,Kaliyuga Mahabharatam,,Narasimha Raju,Hanuman Prasad
1980,Agni Sanskaram,,Chiranjeevi,J. P. Prabhakar Sharma
1980,Mudumulla Bandham,,"Rajendra Prasad , Sarath Babu",Muthyala Subbaiah
1980,Triloka Sundari,,"Narasimha Raju , Deepa",Singeetham Srinivasa Rao
1981,Vaaralabbai,,"Muralimohan , Kaikala Satyanarayana , Prabhakar Reddy",Rajachandra
1981,Chettaniki Kallu Levu,Rekha,chiranjeevi,
1981,Ooriki Ichina Maata,Rupa,Chiranjeevi,M. Balaiah
