Crater,Diameter ( km ),Approval Year,Eponym,Ref
Dali,176,2008,"Salvador Dalí , Spanish painter",WGPSN
Damer,60,2013,"Anne Seymour Damer , English sculptor",WGPSN
Darío,151,1976,"Rubén Darío , Nicaraguan writer",WGPSN
David,23,2013,"Jacques-Louis David , French painter",WGPSN
de Graft,68,2009,"Joe de Graft , Ghanaian playwright",WGPSN
Debussy,81,2010,"Claude Debussy , French composer",WGPSN
Degas,54,1979,"Edgar Degas , French artist",WGPSN
Delacroix,158,1979,"Eugène Delacroix , French artist",WGPSN
Derain,167,2009,"André Derain , French artist",WGPSN
Derzhavin,156,1979,"Gavril Romanovich Derzhavin , Russian poet",WGPSN
Despréz,47.05,1979,"Josquin des Prez , Franco-Flemish composer",WGPSN
Dickens,77.31,1976,"Charles Dickens , English novelist",WGPSN
Disney,113,2012,"Walt Disney , American animator",WGPSN
Dominici,20,2010,"Maria de Dominici , Maltese painter",WGPSN
Donelaitis,85,2013,"Kristijonas Donelaitis , Lithuanian poet",WGPSN
Donne,86,1976,"John Donne , English poet",WGPSN
Dostoevskij,430.06,1979,"Fyodor Dostoyevsky , Russian novelist",WGPSN
Dowland,158,1979,"John Dowland , English composer",WGPSN
Driscoll,30,2015,"Clara Driscoll , American artist",WGPSN
Duccio,132,2013,"Duccio di Buoninsegna , Italian painter",WGPSN
