,Name on the Register,Date listed,Location,City or town
1,Big Falls Inn,"May 31 , 2002 ( # 94000131 )",Western bank of Henrys Fork at Upper Mesa Falls in the Targhee National Forest 44°11′16″N 111°19′37″W / 44.187778°N 111.326944°W / 44.187778 ; -111.326944 ( Big Falls Inn ),Island Park
2,Bishop Mountain Lookout,"May 23 , 1986 ( # 86001184 )",Forest Rd . 80120 44°20′03″N 111°33′09″W / 44.334167°N 111.5525°W / 44.334167 ; -111.5525 ( Bishop Mountain Lookout ),Island Park
3,Conant Creek Pegram Truss Railroad Bridge,"July 25 , 1997 ( # 97000756 )","Over the Conant Creek , 1 mile south of the junction of Squirrel Rd . and old Ashton-Victor railroad spur tracks 44°00′52″N 111°21′51″W / 44.014444°N 111.364167°W / 44.014444 ; -111.364167 ( Conant Creek Pegram Truss Railroad Bridge )",Grainville
4,Glen and Addie Crabtree Cabin,"June 29 , 2000 ( # 00000742 )",3939 Cowan Rd . 44°27′27″N 111°26′22″W / 44.4575°N 111.439444°W / 44.4575 ; -111.439444 ( Glen and Addie Crabtree Cabin ),Island Park
5,Fremont County Courthouse,"January 8 , 1979 ( # 79000789 )","151 W. 1st St. , N. 43°58′04″N 111°41′01″W / 43.967778°N 111.683611°W / 43.967778 ; -111.683611 ( Fremont County Courthouse )",St. Anthony
6,Idaho State Industrial School Women 's Dormitory,"November 17 , 1982 ( # 82000344 )",2266 E. 600 North 43°58′10″N 111°42′16″W / 43.969444°N 111.704444°W / 43.969444 ; -111.704444 ( Idaho State Industrial School Women 's Dormitory ),St. Anthony
7,Independent Order of Odd Fellows Hall,"July 9 , 1997 ( # 97000763 )",601 Main St. 44°04′18″N 111°26′49″W / 44.071667°N 111.447083°W / 44.071667 ; -111.447083 ( Independent Order of Odd Fellows Hall ),Ashton
8,Island Park Land and Cattle Company Home Ranch,"December 20 , 1996 ( # 96001508 )","U.S. Route 20 , approximately 1 mile southwest of Island Park 44°20′41″N 111°27′39″W / 44.344722°N 111.460833°W / 44.344722 ; -111.460833 ( Island Park Land and Cattle Company Home Ranch )",Island Park
9,Johnny Sack Cabin,"April 19 , 1979 ( # 79000788 )",Island Park 44°30′01″N 111°15′18″W / 44.500247°N 111.254945°W / 44.500247 ; -111.254945 ( Johnny Sack Cabin ),Island Park
10,St. Anthony Pegram Truss Railroad Bridge,"July 25 , 1997 ( # 97000761 )","Over Henry 's Fork , 0.5 miles south of the junction of S. Parker Rd . and West Belt Branch railroad tracks 43°57′01″N 111°42′59″W / 43.950278°N 111.716389°W / 43.950278 ; -111.716389 ( St. Anthony Pegram Truss Railroad Bridge )",St. Anthony
11,Joseph Sherwood House and Store,"December 9 , 1994 ( # 94001452 )",State Highway 87 west of its junction with U.S. Route 20 44°39′57″N 111°23′08″W / 44.665833°N 111.385556°W / 44.665833 ; -111.385556 ( Joseph Sherwood House and Store ),Island Park
12,US Post Office-St. Anthony Main,"March 16 , 1989 ( # 89000136 )","48 W. 1st , N. 43°58′02″N 111°40′57″W / 43.967222°N 111.6825°W / 43.967222 ; -111.6825 ( US Post Office-St. Anthony Main )",St. Anthony
