No,Name,Locality,Period/Earliest inscription
1,Chokkanathaswamy temple,Domlur,10th century AD
2,Someshwara Temple ( Halasuru ),Halasuru,
3,Kashi Vishweshwar temple,Kadugodi,
4,Vasantha Vallabharaya Temple,Vasanthapura,
5,Ananda Lingeshwara Temple,Hebbal,
6,Eshwara Temple,Kengeri,1050 AD
7,Dharmesvara Temple,Kondrahalli,1065 AD
8,Madduramma Temple,Huskur,11th century AD
9,Mukthi Natheshwara Temple,Binnamangala,1110 AD
10,Someshwara Temple,Madiwala,1247 AD
11,Kaalikaamba Kamatheshwara Temple,Nagarathpet,13th century AD
12,Someshwara Swamy Temple,Agara,1500 years
13,Someshwara Temple,Marathahalli,1508 AD
14,Sri Someshwara Swamy Temple,Gunjur Village,800 years
