Rank,Country,Airport,City,IATA/ICAO code,Total,Change
1,Japan,Tokyo International Airport,Tokyo,HND/RJTT,"66,754,849",0.2%
2,People 's Republic of China,Beijing Capital International Airport,Beijing,PEK/ZBAA,"55,937,389",4.4%
3,"Hong Kong , People 's Republic of China",Hong Kong International Airport,Hong Kong,HKG/VHHH,"47,857,746",1.7%
4,Thailand,Suvarnabhumi Airport,Bangkok,BKK/VTBS,"38,603,490",6.3%
5,Singapore,Singapore Changi Airport,Changi,SIN/WSSS,"37,694,824",2.7%
6,United Arab Emirates,Dubai International Airport,Dubai,DXB/OMDB,"37,441,440",9.0%
7,People 's Republic of China,Guangzhou Baiyun International Airport,Guangzhou,CAN/ZGGG,"33,435,472",8.0%
8,Japan,Narita International Airport,Tokyo,NRT/RJAA,"32,678,405",7.7%
9,Indonesia,Soekarno-Hatta International Airport,Jakarta,CGK/WIII,"32,172,114",0.9%
10,South Korea,Incheon International Airport,Seoul,ICN/RKSI,"29,973,522",4.0%
11,People 's Republic of China,Shanghai Pudong International Airport,Shanghai,PVG/ZSPD,"28,235,691",2.4%
12,Malaysia,Kuala Lumpur International Airport,Sepang,KUL/WMKK,"27,529,355",2.2%
13,India,Chhatrapati Shivaji International Airport,Mumbai,BOM/VABB,"24,300,000",13.5%
14,India,Indira Gandhi International Airport,Delhi,DEL/VIDP,"23,970,000",15.3%
15,People 's Republic of China,Shanghai Hongqiao International Airport,Shanghai,SHA/ZSSS,"22,877,404",1.1%
16,Philippines,Ninoy Aquino International Airport,Manila,MNL/RPLL,"22,300,000",4.9%
17,Taiwan ( Republic of China ),Taipei Taoyuan International Airport,Taipei,TPE/RCTP,"21,936,083",6.4%
18,People 's Republic of China,Shenzhen Bao'an International Airport,Shenzhen,SZX/ZGSZ,"21,400,509",3.8%
19,Saudi Arabia,King Abdulaziz International Airport,Jeddah,JED/OEJN,"17,626,000",8.1%
20,People 's Republic of China,Chengdu Shuangliu International Airport,Chengdu,CTU/ZUUU,"17,246,806",7.1%
