Team,Stadium,Capacity,Location,Main Sponsor,Apparel Sponsor
Albirex Niigata ( S ),Jurong East Stadium,"2,700",Jurong East,Canon,Adidas
Balestier Khalsa,Toa Payoh Stadium,"3,900",Toa Payoh,Civic Ambulance FTMS Global,Umbro
Etoile FC,Queenstown Stadium,"3,800",Queenstown,-,Acono
Geylang United,Bedok Stadium,"3,900",Bedok,-,Lotto
Gombak United,Jurong West Stadium,"3,200",Jurong West,-,Erke
Home United,Bishan Stadium,"4,100",Bishan,Coca-Cola,Kappa
Hougang United,Hougang Stadium,"2,500",Hougang,-,Mitre
Singapore Armed Forces,Choa Chu Kang Stadium,"4,600",Choa Chu Kang,Star Automotive Centre United Engineers Limited,Umbro
Tampines Rovers,Tampines Stadium,"3,600",Tampines,Hyundai,DAL
Tanjong Pagar United,Clementi Stadium,"4,000",Clementi,Michezo Group,Thorb
Woodlands Wellington,Woodlands Stadium,"4,300",Woodlands,-,Mitre
Young Lions,Jalan Besar Stadium,"6,000",Kallang,Courts,Nike
