Contestant,Finish,Total Votes
"Aanchal Khurana Delhi , Uttar Pradesh",4th Voted out Winner,6
"Mohit Saggar Chandigarh , Punjab",11th Voted out Runner-up,9
"Suchit Vikram Singh Delhi , Uttar Pradesh",Eliminated in Finals,5
"Pooja Banerjee Hyderabad , Andhra Pradesh",10th Voted out,5
"Anamika Datta Chandigarh , Punjab",Eliminated in Quarterfinals,1
"Rahul Sheoron Chandigarh , Punjab",1st Voted out 9th Voted out,11
"Suraj Chinnadore Delhi , Haryana",8th Voted out,9
"Vibhor Sharma Delhi , Uttar Pradesh",7th Voted out,8
"Chandni Ahmedabad , Gujarat",6th Voted out,8
"Prachi Agarwal Kolkata , West Bengal",5th Voted out,2
"Renee Dhyani Delhi , Uttar Pradesh",4th Voted out,4
"Dev Singh Chandigarh , Punjab",3rd Voted out,7
"Avtar Nischal Delhi , Uttar Pradesh",2nd Voted out,8
