Year,Song ( s ),Film,Composer
2012,Nadukadalula Kappala,Attakathi,Santhosh Narayanan
2013,Love Letter Pottiyunnu Vanthuputta,Kanna Laddu Thinna Aasaiya,S. Thaman
2013,Edhathaan Kanduttey Nee Pudhusa,Settai,S. Thaman
2013,Ora Kannala,Udhayam NH4,G. V. Prakash Kumar
2013,Kaasu Panam,Soodhu Kavvum,Santhosh Narayanan
2013,Sandhegam,Arya Surya,Srikanth Deva
2013,Hey Baby,Raja Rani,G. V. Prakash Kumar
2013,Vaazhka Oru,Naveena Saraswathi Sabatham,Prem Kumar
2014,Sokkathaan Aadu,Kalavaram,F.S . Faisal
2014,Aaru Adi Veedu All Your Beauty,Goli Soda,S. N. Arunagiri
2014,Do n't Worry Be Happy,Nimirndhu Nil,G. V. Prakash Kumar
2014,Enda Mapla,Cuckoo,Santhosh Narayanan
2014,Vaazhkai Thaan,Marumunai,Sathya Dev
2014,Open the Tasmac,Maan Karate,Anirudh Ravichander
2014,Bachelor Enakke,Oru Kanniyum Moonu Kalavaanikalum,Natarajan Sankaran
2014,,Uyirukku Uyiraga,Santhakumar
2014,Avalai Nambithan,Salim,Vijay Antony
2014,Porappu Erappu,Poriyaalan,M.S . Jones
2014,Scenu Scenu,Sigaram Thodu,D. Imman
2014,Kaakidha Kappal Irandhidava,Madras,Santhosh Narayanan
