Date,Co-Hosts,Guests/Segments
November 1,Regis Philbin & Kelly Ripa,"Jonah Hill , the winner of Project Runway , Thanksgiving with a Twist Week"
November 2,Regis Philbin & Kelly Ripa,"Robert Downey , Jr. , Robin Roberts , Thanksgiving with a Twist Week"
November 3,Regis Philbin & Kelly Ripa,"Rosario Dawson , Jason Schwartzman , Thanksgiving with a Twist Week"
November 4,Regis Philbin & Kelly Ripa,"Tina Fey , Neon Trees , Thanksgiving with a Twist Week"
November 5,Regis Philbin & Kelly Ripa,"Jo Frost , Jesse Tyler Ferguson , Thanksgiving with a Twist Week"
November 8,Regis Philbin & Kelly Ripa,"Rachel McAdams , Jason Ritter , BFF Dream Team Makeover Week"
November 9,Regis Philbin & Kelly Ripa,"Harrison Ford , Olivia Wilde , BFF Dream Team Makeover Week"
November 10,Regis Philbin & Kelly Ripa,"Denzel Washington , Rainn Wilson , BFF Dream Team Makeover Week"
November 11,Regis Philbin & Kelly Ripa,"Russell Crowe , Ty Burrell , BFF Dream Team Makeover Week"
November 12,Regis Philbin & Kelly Ripa,"Tracy Morgan , BFF Dream Team Makeover Week"
November 15,Regis Philbin & Kelly Ripa,"Russell Brand , Rupert Grint"
November 16,Regis Philbin & Kelly Ripa,"Anne Hathaway , Emma Watson , Lee DeWyze"
November 17,Regis Philbin & Kelly Ripa,"Daniel Radcliffe , Chris Byrne the Toy Guy"
November 18,Regis Philbin & Kelly Ripa,"Jake Gyllenhaal , Anderson Cooper , Mark Sanchez"
November 19,Regis Philbin & Kelly Ripa,"Cher , Mandy Moore"
November 22,Regis Philbin & Kelly Ripa,"Steve Martin , Scott Caan , Sarah McLachlan"
November 23,Regis Philbin & Kelly Ripa,"Jessica Simpson , Cloris Leachman"
November 24,Regis Philbin & Kelly Ripa,"Colin Firth , Elton John & Leon Russell"
November 26,Regis Philbin & Kelly Ripa,"Billy Bob Thornton , Paul Shaffer"
November 29,Regis Philbin & Kelly Ripa,"LIVE ! in Las Vegas , Jabbawockeez , Joel McHale , David Copperfield , Nicki Minaj , Regis remembers classic Las Vegas and shares highlights of present Las Vegas"
