Institution ( English ),Institution ( Spanish ),Acronym,Location,Year joined
"University of Puerto Rico , Río Piedras","Universidad de Puerto Rico , Recinto de Río Piedras",UPR,"San Juan , Puerto Rico",1929
University of Puerto Rico at Mayagüez,Recinto Universitario de Mayagüez,RUM,"Mayagüez , Puerto Rico",1929
Interamerican University of Puerto Rico,Universidad Interamericana de Puerto Rico,UIPR,"San German , Puerto Rico",1929
Pontifical Catholic University of Puerto Rico,Pontificia Universidad Católica de Puerto Rico,PUC,"Ponce , Puerto Rico",1954
University of Puerto Rico at Cayey,Universidad de Puerto Rico en Cayey,UPRC,"Cayey , Puerto Rico",1971
University of Turabo,Universidad del Turabo,UT,"Gurabo , Puerto Rico",1975
University of Puerto Rico at Humacao,Universidad de Puerto Rico en Humacao,UPRH,"Humacao , Puerto Rico",1975
University of the Sacred Heart,Universidad del Sagrado Corazón,USC,"Santurce , Puerto Rico",1979
University of Puerto Rico at Bayamón,Universidad de Puerto Rico en Bayamón,UPRB,"Bayamón , Puerto Rico",1980
University of Puerto Rico at Arecibo,Universidad de Puerto Rico en Arecibo,UPRA,"Arecibo , Puerto Rico",1983
American University of Puerto Rico,,AUPR,"Bayamón , Puerto Rico",1991
Bayamón Central University,Universidad Central de Bayamón,UCB,"Bayamón , Puerto Rico",1991
University of Puerto Rico at Ponce,Universidad de Puerto Rico en Ponce,UPRP,"Ponce , Puerto Rico",1992
University of Puerto Rico at Aguadilla,Universidad de Puerto Rico en Aguadilla,UPAG,"Aguadilla , Puerto Rico",1992
University of Puerto Rico at Carolina,Universidad de Puerto Rico en Carolina,UPCA,"Carolina , Puerto Rico",1994
University of Puerto Rico at Utuado,Universidad de Puerto Rico en Utuado,UPRU,"Utuado , Puerto Rico",1998
Polytechnic University of Puerto Rico,Universidad Politécnica de Puerto Rico,POLI,"San Juan , Puerto Rico",1999
Eastern University,Universidad del Este,UNE,"Carolina , Puerto Rico",2005
Metropolitan University,Universidad Metropolitana,UMET,"San Juan , Puerto Rico",2005
Caribbean University,,CU,"Bayamón , Puerto Rico",2005
