Medal,Championship,Name,Junior event
Silver,2002 Büttgen,Suzanne de Goede,Girls individual pursuit
Bronze,2002 Büttgen,Gideon de Jong,Boys points race
Gold,2003 Moscow,Wim Stroetinga,Boys points race
Gold,2003 Moscow,Marlijn Binnendijk,Girls individual pursuit
Silver,2003 Moscow,Levi Heimans,Boys individual pursuit
Silver,2003 Moscow,Wim Stroetinga Niels Pieters Levi Heimans Kevin Sluimer,Boys team pursuit
Gold,2004 Valence,Liesbeth Bakker,Girls individual pursuit
Bronze,2004 Valence,Liesbeth Bakker,Girls points race
Bronze,2004 Valence,Joukje Braam,Girls keirin
Gold,2006 Athens,Elise van Hage,Girls points race
Gold,2006 Athens,Elise van Hage,Girls scratch
Silver,2006 Athens,Elise van Hage,Girls individual pursuit
Bronze,2006 Athens,Gerrit Peetoom,Boys scratch
Gold,2007 Cottbus,Michael Vingerling,Boys scratch
Bronze,2007 Cottbus,Roy Pieters,Boys scratch
Bronze,2008 Pruszkow,Amy Pieters,Girls points race
Bronze,2011 Anadia,Elis Ligtlee,Girls 500 m time trial
Bronze,2011 Anadia,Kelly Markus,Girls points race
Bronze,2011 Anadia,Kelly Markus,Girls scratch
Gold,2012 Anadia,Elis Ligtlee,Girls sprint
