Award,Created,Description,Current holder
ECHL Most Valuable Player,1989,Awarded to the player adjudged to be the most valuable to his team as voted by the coaches of each team in the ECHL,Jesse Schultz Cincinnati Cyclones ( 2019 )
Kelly Cup Playoffs Most Valuable Player,1989,Awarded to the most valuable player for his team in the playoffs as selected by members of the media at the conclusion of the final game of the Kelly Cup playoffs,Zach O'Brien Newfoundland Growlers ( 2019 )
John Brophy Award,1989,Awarded to the ECHL coach adjudged to have contributed the most to his team 's success as voted by the coaches of each of the ECHL teams,Matt Thomas Cincinnati Cyclones ( 2019 )
ECHL Goaltender of the Year,1994,Awarded to the goaltender adjudged to be the best at his position as voted by the coaches of each team in the ECHL,Michael Houser Cincinnati Cyclones ( 2019 )
Rookie of the Year,1989,Awarded to the player selected as the most proficient in his first year of competition in the ECHL as voted by the coaches of each of the ECHL teams . Previously known as the John A. Daley Memorial Trophy,Chris Collins Kalamazoo Wings ( 2019 )
Defenseman of the Year,1989,Awarded to the defenseman who demonstrates throughout the season the greatest ability at the position as voted by the coaches of each of the ECHL teams,Eric Knodel Cincinnati Cyclones ( 2019 )
Leading Scorer Award,1989,Awarded to the player who leads the league in scoring at the end of the regular season,Jesse Schultz Cincinnati Cyclones ( 2019 )
Plus Performer Award,2000,Awarded to the player who leads the league in plus/minus rating at the end of the regular season,Joe Cox Florida Everblades ( 2019 )
Sportsmanship Award,1997,Awarded to the player adjudged to have exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability as voted by the coaches of each of the ECHL teams,Zach O'Brien Newfoundland Growlers ( 2019 )
Community Service Award,2011,Awarded to a player who goes above and beyond in his efforts for community and charitable causes,James Henry Adirondack Thunder ( 2019 )
