Year,Title,Role,Director
1958,Girl and the River,uncredited,François Villiers
1962,Moon Pilot,Lyrae,James Neilson
1964,Une souris chez les hommes,Lucile,Jacques Poitrenaud
1964,Constance aux enfers,Pascale,François Villiers
1965,Boeing Boeing,Jacqueline Grieux aka Air France,John Rich
1972,It Can Be Done Amigo,Mary Bronston,Maurizio Lucidi
1974,"Graf Yoster gibt sich die Ehre ( TV show , 1 episode )",Nathalie Gilain,Georg Tressler
1977,Animal,Doris,Claude Zidi
1977,Parisian Life,Pauline,Christian-Jacque
1980,Inspector Blunder,the antiquarian,Claude Zidi
