Skip,Third,Second,Lead,Locale,Qualification Method
Pete Fenson,Shawn Rojeski,Joe Polo,Ryan Brunt,"Bemidji , Minnesota",High Performance Program team
Heath McCormick,Bill Stopera,Martin Sather,Dean Gemmell,"New York , New York",High Performance Program team
Chris Plys ( fourth ),Tyler George ( skip ),Richard Ruohonen,Colin Hufman,"Duluth , Minnesota",Order of Merit
John Shuster,Jeff Isaacson,Jared Zezel,John Landsteiner,"Duluth , Minnesota",Order of Merit
Craig Brown,Kroy Nernberger,Matt Hamilton,Jon Brunt,"Madison , Wisconsin",Challenge Round
Greg Persinger,Nicholas Myers,Sean Murray,Tim Gartner,"Fairbanks , Alaska",Challenge Round
Ryan Lemke,Nate Gebert,John Lilla,Casey Konopacky,"Medford , Wisconsin",Challenge Round
Brady Clark,Sean Beighton,Darren Lehto,Philip Tilker,"Seattle , Washington",Challenge Round
Mike Farbelow,Kevin Deeren,Kraig Deeren,Mark Lazar,"St. Paul , Minnesota",Challenge Round
Todd Birr,Doug Pottinger,Greg Romaniuk,Thomas O'Connor,"Mankato , Minnesota",Challenge Round
