Episode,Title,Original air date,Presenter/narrator,Principal species featured
1,Lost Crocodiles of the Pharaohs,12 October 2003,Sean Pertwee,Nile crocodile
2,Elephant Cave,19 October 2003,Kenneth Cranham,African elephant
3,White Shark/Red Triangle,31 October 2003,Bert Pence,"Great white shark , elephant seal"
4,Tigers of the Emerald Forest,16 November 2003,"Raghu Chundawat , Joanna Van Gruisen",Bengal tiger
5,Five Owl Farm,7 December 2003,Robert Hardy,"Barn owl , little owl , long-eared owl , short-eared owl , tawny owl"
6,The Monkey Prince,?,Kristin Scott Thomas,Monkey
7,The Eagle Has Landed,2 January 2004,,"Osprey , red kite , sea eagle"
8,Swamp Cats,9 January 2004,Jeremy Northam,Lion
9,A Moose Named Madeline,8 February 2004,Richard E. Grant,Moose
10,The Amber Time Machine,15 February 2004,David Attenborough,"Bee , midge , long-legged fly , thunder gnat , aphid , ant , mite , giant bean tree , balted tree , seaburn tree , nazareno tree , palm , stingless bee , assassin bug , tadpole , marsh beetle , diving beetle , poison dart frog , bromelia , damselfly , bamboo , minuet worm , fig , fig wasp , nematodes , scale insect , theropod dinosaur"
11,Five Big Cats and a Camera,22 February 2004,David Attenborough,"Cheetah , leopard , serval , caracal , lion"
12,Ice Age Death Trap,29 February 2004,Sean Barrett,"Saber-toothed cat , dire wolf , short-faced bear , Columbian mammoth , American mastodon , giant ground sloths , Camelops , Harlan 's ground sloth , American lion , ancient bison , Hagerman horse , Teratornis"
13,Ireland : Sculpted Isle,14 March 2004,Fergal Keane,
14,Lion : Out of Africa ?,11 April 2004,Jonathan Scott,"Asian lion , domestic cow"
