Date,Language,Language family,Region
late 19th century,Adai,isolate,"Louisiana , United States"
late 19th century,Istrian Albanian,Albanian,Croatia
later 19th century ( ? ),Mbara,Pama-Nyungan,Australia
ca . 1899,Nawathinehena,Algic > Algonquian,"Oklahoma and Wyoming , United States"
by 1899,Ahom,Tai,India
by 1899,Waling,Sino-Tibetan,Nepal
10 June 1898,Dalmatian,Romance,Croatia ; Montenegro
1898,Moriori,Malayo-Polynesian,"Chatham Island , New Zealand"
after 1894,Tsetsaut,Na-Dene > Athabaskan,"British Columbia , Canada"
after 1892,Awabakal,Pama-Nyungan,"Queensland , Australia"
1886,Comecrudo,Comecrudan,"Mexico ; Texas , United States"
1886,Cotoname,isolate,"Mexico ; Texas , United States"
1884,Yaquina,Penutian,"Oregon , United States"
ca . 1880,Auregnais,Romance,"Alderney , United Kingdom"
1877,Aruá,Arauan,Brazil
8 May 1876,Bruny Island,Tasmanian,"Tasmania , Australia"
mid-1870s,Yola,Germanic,"Wexford , Ireland"
1871,Tutelo,Siouan,"Virginia , United States"
1870,Clatskanie,Na-Dene > Athabaskan,"Washington ( state ) , United States"
after 1867,Andoquero,Witotoan,Colombia
