Title,Author,Year,Method / Notes
Avatar,Théophile Gautier,1856,magic
New Bodies for Old,Jack Vance,1950,collected 1982 as Chateau d'If
The Great Keinplatz Experiment,Arthur Conan Doyle,1885,mesmerism
"Icchapuran , Ichchhapuran ( Fulfilling the wish )",Rabindranath Tagore,1895,
Lejana ( The Distances ),Julio Cortázar,1949,hug
Mefisto in Onyx,Harlan Ellison,1993,
The Shadow Out of Time,H. P. Lovecraft,1936 ( cut ) 1939 ( restored ),psychic temporal transfer
The Story of the Late Mr Elvesham,H. G. Wells,1896,
The Thing on the Doorstep,H. P. Lovecraft,1937,magic
The Gentleman in Black ( opera ),Frederic Clay and W. S. Gilbert,1870,magic
Happy Arcadia ( opera ),Frederic Clay and W. S. Gilbert,1872,magic
"Somerset , the Scientific Monkey",Donald Bern ( Alfred Bernstein ),1942,mind transfer machine
Transformation,Mary Shelley,1830,supernatural ritual
