Year,Title,Role,Notes
1997,Chalk,Rabbit Girl 2,Episode : Exam
2000,Down to Earth,Chrissie,Episode : O Best Beloved
2001,Holby City,Sarah Newman,Episode : Runaway
2001,Night and Day,Della Wells,Main role
2002,Daddy 's Girl,Emma Cooper,TV film
2003,Danielle Cable : Eyewitness,Kerri,TV film
2003,The Bill,Kirsty Sullivan,Episode : 125
2004,Rose and Maloney,Katie Phelan,Episode # 1.2
2004,Doc Martin,Melanie Gibson,Episode : Of All the Harbours in All the Towns
2004,Wall of Silence,Tracy Broughton,TV film
2005,Revelations,Athena,Episode : Hour Two
2005,Empire,Girlfriend Olivia,TV miniseries
2005,Beneath the Skin,Zoe Haratounian,TV film
2006,Brief Encounters,Jay,Episode : One Night in White Satin
2006,Dracula,Mina Murray,TV film
2007,Agatha Christie 's Marple,Hester Argyle,Episode : Ordeal by Innocence
2011,"Atlantis : End of a World , Birth of a Legend",Pinaruti,TV film
2012,Eternal Law,Jude,"Episodes : Episode Three , Episode Four"
2012,Whitechapel,Georgie Fox,"Episodes : Case One ( Part 1 ) , Case One ( Part 2 )"
2013-2015,Defiance,Irisa Nyira,Main role
