Name,Length,Source,Drainage,Location of mouth
Mahaweli River,335 km ( 208 mi ),Horton Plains,Trincomalee,08°27′34″N 81°13′46″E / 8.45944°N 81.22944°E / 8.45944 ; 81.22944 ( Mahaweli River )
Malvathu River,164 km ( 102 mi ),Dambulla,Vankalai,08°48′08″N 79°55′40″E / 8.80222°N 79.92778°E / 8.80222 ; 79.92778 ( Malvathu River )
Kala Oya,148 km ( 92 mi ),Dambulla,Wilpattu,08°17′41″N 79°50′23″E / 8.29472°N 79.83972°E / 8.29472 ; 79.83972 ( Kala Oya )
Kelani River,145 km ( 90 mi ),Adam 's Peak,Colombo,06°58′44″N 79°52′12″E / 6.97889°N 79.87000°E / 6.97889 ; 79.87000 ( Kelani River )
Yan Oya,142 km ( 88 mi ),Ritigala,Pulmoddai,08°55′04″N 81°00′58″E / 8.91778°N 81.01611°E / 8.91778 ; 81.01611 ( Yan Oya )
Deduru Oya,142 km ( 88 mi ),Kurunegala,Chilaw,07°36′50″N 79°48′12″E / 7.61389°N 79.80333°E / 7.61389 ; 79.80333 ( Deduru Oya )
Walawe River,138 km ( 86 mi ),Adam 's Peak,Ambalantota,06°06′19″N 81°00′57″E / 6.10528°N 81.01583°E / 6.10528 ; 81.01583 ( Walawe River )
Maduru Oya,135 km ( 84 mi ),Maduru Oya,Kalkudah,07°56′24″N 81°33′05″E / 7.94000°N 81.55139°E / 7.94000 ; 81.55139 ( Maduru Oya )
Maha Oya,134 km ( 83 mi ),Hakurugammana,Negombo,07°16′21″N 79°50′34″E / 7.27250°N 79.84278°E / 7.27250 ; 79.84278 ( Maha Oya )
Kalu Ganga,129 km ( 80 mi ),Adam 's Peak,Kalutara,06°34′10″N 79°57′44″E / 6.56944°N 79.96222°E / 6.56944 ; 79.96222 ( Kalu Ganga )
Kirindi Oya,117 km ( 73 mi ),Bandarawela,Bundala,06°11′39″N 81°17′34″E / 6.19417°N 81.29278°E / 6.19417 ; 81.29278 ( Kirindi Oya )
Kumbukkan Oya,116 km ( 72 mi ),Lunugala,Kumana,06°48′36″N 81°49′25″E / 6.81000°N 81.82361°E / 6.81000 ; 81.82361 ( Kumbukkan Oya )
Menik Ganga,114 km ( 71 mi ),Namunukula,Yala,06°21′49″N 81°31′45″E / 6.36361°N 81.52917°E / 6.36361 ; 81.52917 ( Menik Ganga )
Gin Ganga,113 km ( 70 mi ),Gongala,Gintota,06°03′47″N 80°10′27″E / 6.06306°N 80.17417°E / 6.06306 ; 80.17417 ( Menik Ganga )
Mi Oya,109 km ( 68 mi ),Saliyagama,Puttalam,08°05′44″N 79°48′37″E / 8.09556°N 79.81028°E / 8.09556 ; 79.81028 ( Mi Oya )
Gal Oya,108 km ( 67 mi ),Yalkumbura,Oluvil,07°18′01″N 81°51′54″E / 7.30028°N 81.86500°E / 7.30028 ; 81.86500 ( Gal Oya )
