Location served,Region,ICAO,IATA,Airport name
Andizhan ( Andijan ),Andijan,UTFA,AZN,Andizhan Airport
Bukhara,Bukhara,UTSB,BHK,Bukhara International Airport
Fergana,Fergana,UTFF,FEG,Fergana International Airport
Kungrad,Karakalpakstan,,,Kungrad Airport
Karshi ( Qarshi ),Qashqadaryo,UTSK,KSQ,Karshi Airport
Muynak ( Moynoq ),Karakalpakstan,UTNM,,Muynak Airport
Maymanak,Qashqadaryo,,,Maymanak Airport
Namangan,Namangan,UTFN,NMA,Namangan Airport
Navoi ( Navoiy ),Navoiy,UTSA,NVI,Navoi International Airport
Nukus,Karakalpakstan,UTNN,NCU,Nukus Airport
Samarkand ( Samarqand ),Samarqand,UTSS,SKD,Samarkand International Airport
"Sary Asiya ( Sariasiya , Sariosiyo )",Surxondaryo,UTSR,,Sary Asiya Airport ( Sariasiya Airport )
Shakhrisabz,Qashqadaryo,,,Shakhrisabz Airport
Tashkent,Tashkent,UTTT,TAS,Tashkent International Airport
Tashkent,Tashkent,UTTP,,New Tashkent Airport ( Formerly Tashkent Vostochny Tuzel Air Base )
Termez,Surxondaryo,UTST,TMJ,Termez Airport
Turtkul ( Tortkol ),Karakalpakstan,UTNT,,Turtkul Airport
Uchkuduk,Navoiy,UTSU,,Uchkuduk Airport
Urgench,Xorazm ( Khorezm ),UTNU,UGC,Urgench International Airport
Zarafshan,Navoiy,UTSN,AFS,Zarafshan Airport ( Sugraly Airport )
