Rank,Country,Team,Time
1,Kenya,Paul Kirui John Cheruiyot Korir Wilson Kiprotich Kebenei,3:07:55
2,Ethiopia,Solomon Tsige Alene Emere Berhanu Addane,3:08:37
3,Uganda,Wilson Busienei Martin Toroitich Joseph Nsubuga,3:13:48
4,Eritrea,Yonas Kifle Samson Kiflemariam Tesfayohannes Mesfen,3:15:04
5,Japan,Yukinobu Nakazaki Yoshinori Oda Terumasa Okamura,3:15:10
6,Qatar,Ahmed Hassan Abdullah Jumah Al-Noor Foaad Abubaker,3:17:31
7,Tanzania,Fabiano Joseph Stephen Rogart Dhako Naftali,3:17:53
8,France,Moulay Ali Ouadih Larbi Zéroual Mohamed Serbouti,3:19:24
9,Russia,Yevgeniy Rybakov Leonid Shvetsov Aleksandr Vasilyev,3:20:05
10,United States,Justin Young Josh Cox Teddy Mitchell,3:22:50
11,Botswana,Gabalebe Moloko Kabo Gabaseme Kaelo Mosalagae,3:25:14
12,India,Ram Bahadur Subha Muresh Kumar Yadav Ajith Singh,3:34:31
13,Nepal,Uttam Khatri Arjun Prasad Dhakal Nara Bahadur Khatri,3:51:17
-,Morocco,Aziz Driouche Rachid El-Ghanmouni Abdelhadi Habassa,DNF
-,Spain,Fernando Rey Víctor Morente Javier Cortés,DNF
