Medal,Name,Sport,Event
Gold,Mostafa Nazari Mohammad Mehdi Katebi Hassan Donyaei Mostafa Tayyebi Ali Kiaei Majid Latifi Ali Asghar Hassanzadeh Mohammad Keshavarz Masoud Daneshvar Mohammad Taheri Ahmad Mollaali Hossein Mahdavinia Sajjad Bandi Ebrahim Masoudi,Futsal,Men
Gold,Majid Khalaji Mehdi Malekahmadi Yaghoub Bahrami Morteza Ahmadi Masoud Bohlouli Ali Malekahmadi Aref Mohammadi Reza Abbasi Reza Norouzzadeh Reza Fattahi Javad Shaabani Jafar Fareghi,Indoor hockey,Men
Gold,Mostafa Abdollahi,Muay Thai,Men 's 75 kg
Gold,Mohammad Alirezaei,Short course swimming,Men 's 50 m breaststroke
Silver,Shadi Paridar,"Board games , Chess",Women 's individual rapid
Silver,Meisam Hosseini,Esports,Open FIFA 07
Silver,Ehsan Mohajer Shojaei,Indoor athletics,Men 's 800 m
Silver,Vahid Roshani,Muay Thai,Men 's 71 kg
Bronze,Elshan Moradi,"Board games , Chess",Men 's individual blitz
Bronze,Ehsan Ghaemmaghami Elshan Moradi Homayoun Tofighi Shadi Paridar Shayesteh Ghaderpour Mitra Hejazipour,"Board games , Chess",Mixed team rapid
Bronze,Farzan Homaei,Esports,Open NBA Live 07
Bronze,Naeim Hedayati,Esports,Open Need for Speed : Most Wanted
Bronze,Iman Roghani Reza Bouazar Hashem Khazaei Sajjad Moradi,Indoor athletics,Men 's 4 × 400 m relay
Bronze,Pendar Shoghian,Indoor athletics,Men 's pole vault
Bronze,Mehdi Shahrokhi,Indoor athletics,Men 's shot put
Bronze,Abdolhamid Maghsoudloo Mohammad Bagher Mazandarani Ramezan Ali Paeinmahalli Farhad Kamal Gharibi Kianoush Naderian Moslem Amiri Houman Seidi Nasser Roumiani Ali Doustmohammadi Reza Kamali Moghaddam Morteza Shahidi Ebad Dalili,Kabaddi,Men
Bronze,Jalal Motamedi,Muay Thai,Men 's 67 kg
