Name,Space Agency,Launch Date,Terminated,Observing Location
OAO-2 ( Stargazer ),NASA,7 Dec 1968,Jan 1973,Earth orbit ( 749-758 km )
Orion 1 and Orion 2 Space Observatories,USSR,19 Apr 1971 ( Orion 1 ) ; ( Orion 2 ) 18 Dec 1973,1971 ; 1973,Earth orbit ( Orion 1 : 200-222 km ; Orion 2 : 188-247 km )
Far Ultraviolet Camera/Spectrograph ( UVC ),NASA,16 Apr 1972,23 Apr 1972,Descartes Highlands on lunar surface
OAO-3 Copernicus,NASA,21 Aug 1972,Feb 1981,Earth orbit ( 713-724 km )
Astronomical Netherlands Satellite ( ANS ),SRON,30 Aug 1974,Jun 1976,Earth orbit ( 266-1176 km )
International Ultraviolet Explorer ( IUE ),ESA & NASA & SERC,26 Jan 1978,30 Sep 1996,"Earth orbit ( 32,050-52,254 km )"
Astron,IKI,23 Mar 1983,Jun 1989,"Earth orbit ( 2,000-200,000 km )"
Hubble Space Telescope,NASA & ESA,24 Apr 1990,-,Earth orbit ( 586.47-610.44 km )
Broad Band X-ray Telescope / Astro 1,NASA,2 Dec 1990,11 Dec 1990,Earth orbit ( 500 km )
Extreme Ultraviolet Explorer ( EUVE ),NASA,7 Jun 1992,31 Jan 2001,Earth orbit ( 515-527 km )
Astro 2,NASA,2 Mar 1993,18 Mar 1993,Earth orbit ( 349-363 km )
Far Ultraviolet Spectroscopic Explorer ( FUSE ),NASA & CNES & CSA,24 Jun 1999,12 Jul 2007,Earth orbit ( 752-767 km )
Cosmic Hot Interstellar Spectrometer ( CHIPS ),NASA,13 Jan 2003,11 Apr 2008,Earth orbit ( 578-594 km )
Galaxy Evolution Explorer ( GALEX ),NASA,28 Apr 2003,28 Jun 2013,Earth orbit ( 691-697 km )
Korea Advanced Institute of Science and Technology Satellite 4 ( Kaistsat 4 ),KARI,27 Sep 2003,2007 ?,Earth orbit ( 675-695 km )
Swift Gamma Ray Burst Explorer ( Swift ),NASA,20 Nov 2004,-,Earth orbit ( 585-604 km )
Interface Region Imaging Spectrograph ( IRIS ),NASA,27 Jun 2013,-,Earth orbit
Hisaki ( SPRINT-A ),JAXA,14 Sep 2013,-,-
Venus Spectral Rocket Experiment,NASA,26 Nov 2013,reusable,suborbital to 300 km
Lunar-based ultraviolet telescope ( LUT ),CNSA,1 Dec 2013,-,Lunar surface
