Character / Team,Year Debuted,Company,Creator/s,First Appearance
Cutthroat,1980,Marvel,,Marvel Team-Up Vol.1 # 89
Destiny,1980,Marvel,"Chris Claremont , John Byrne",Uncanny X-Men # 141
Sebastian Shaw,1980,Marvel,"Chris Claremont , John Byrne",Uncanny X-Men # 131
Rainbow Raider,1980,DC,Cary Bates,Flash # 286
Dansen Macabre,1980,Marvel,"Steven Grant , Tom Sutton , Carmine Infantino",Marvel Team-Up vol.1 # 93
Anaconda,1980,Marvel,"Mark Gruenwald , Ralph Macchio",Marvel Two-in-One # 64
H.I.V.E,1980,DC,"Marv Wolfman , George Pérez",New Teen Titans # 2
Mongul,Mongul # 1 : 1980 ; Mongul # 2 : 1995,DC,"Mongul # 1 : Len Wein , Jim Starlin ; Mongul # 2 : Jeph Loeb",Mongul # 1 : DC Comics Presents # 27 ; Mongul # 2 : Showcase '95 # 8
Deathstroke,1980 ( December ),DC,"Marv Wolfman , George Pérez",New Teen Titans ( vol . 1 ) # 2
Trigon,1980 ( December ),DC,"Marv Wolfman , George Pérez",New Teen Titans ( vol . 1 ) # 2
Electrocutioner,1981,DC,"Marv Wolfman , Michael Fleisher , Irv Novick",Batman # 331
Fearsome Five,1981,DC,"Marv Wolfman , George Pérez",New Teen Titans # 3
Gizmo,1981,DC,"Marv Wolfman , George Pérez",New Teen Titans # 3
Mammoth,1981,DC,"Marv Wolfman , George Pérez",New Teen Titans # 3
Maelstrom,1981,Marvel,Mark Gruenwald,Marvel Two-in-One # 71
Jack O'Lantern,1981,Marvel,"Tom DeFalco , Steve Ditko",Machine Man # 19
Nekron,1981 ( June ),DC,"Mike W. Barr , Joe Staton",Tales of the Green Lantern Corps # 2
Neutron,1981,DC,"Marv Wolfman , Joe Staton",Action Comics # 525
Magenta,1982,DC,"Marv Wolfman , George Pérez",The New Teen Titans # 17
Gargantua,1982,Marvel,,Defenders # 126
