Team,Location,Sha'biyah,Stadium,Capacity
Al Ahli,Tripoli,Tripoli,June 11 Stadium,"65,000"
Al Ahly,Benghazi,Benghazi,Martyrs of February Stadium,"10,550"
Al Akhdar,Bayda,Jabal al Akhdar,Sheikh Chadae Stadium,"10,000"
Al Hilal,Benghazi,Benghazi,Martyrs of February Stadium,"10,550"
Al Ittihad,Tripoli,Tripoli,June 11 Stadium,"65,000"
Al Madina,Tripoli,Tripoli,June 11 Stadium,"65,000"
Al Najma,Benghazi,Benghazi,Martyrs of February Stadium,"10,550"
Al Nasr,Benghazi,Benghazi,Martyrs of February Stadium,"10,550"
Al Olympique,Zawiya,Zawiya,Zaawia Stadium,"6,000"
Al Shat ( R ),Tripoli,Tripoli,GMR Stadium,"20,000"
Al Swihli,Misrata,Misrata,9th July Stadium,"10,000"
Al Tahaddi ( R ),Benghazi,Benghazi,March 28 Stadium,"55,000"
Al Tirsana ( R ),Tripoli,Tripoli,GMR Stadium,"20,000"
Al Wahda,Tripoli,Tripoli,Ali Alsgozy Stadium,"3,000"
Darnes,Derna,Bayda,Al Bayda Stadium,"10,000"
Khaleej Sirte ( R ),Sirte,Sirte,2 March Stadium,"2,000"
