Player,For,Against,Result,Date
Carmelo González,Buriram United,Songkhla United,6-1,6 April 2013
Sompong Soleb,Bangkok United,Pattaya United,4-0,27 April 2013
Ronnachai Rangsiyo,Bangkok United,Chainat,3-2,29 May 2013
Michaël Murcy,Police United,Bangkok Glass,5-0,3 August 2013
Chananan Pombuppha,Osotspa Saraburi,TOT,4-0,4 August 2013
Cleiton Silva,BEC Tero Sasana,TOT,5-0,14 August 2013
Yannick Mbengono,Chainat,BEC Tero Sasana,4-2,21 August 2013
Carmelo González,Buriram United,Samut Songkhram,5-1,25 August 2013
Teerasil Dangda,Muangthong United,Osotspa Saraburi,3-1,5 October 2013
Sumanya Purisai,Chainat,Suphanburi,3-0,19 October 2013
