Rank,City,State,Population ( 2015 )
1,Jacksonville,Florida,"868,031"
2,Charlotte,North Carolina,"827,097"
3,Washington,District of Columbia,"672,228"
4,Nashville,Tennessee,"660,388"
5,Memphis,Tennessee,"652,717"
6,Baltimore,Maryland,"621,849"
7,Louisville,Kentucky,"615,366"
8,Atlanta,Georgia,"463,878"
9,Virginia Beach,Virginia,"452,745"
10,Raleigh,North Carolina,"451,066"
11,Miami,Florida,"441,003"
12,New Orleans,Louisiana,"389,617"
13,Tampa,Florida,"369,075"
14,Lexington,Kentucky,"314,488"
15,Greensboro,North Carolina,"285,342"
16,Orlando,Florida,"270,394"
17,Durham,North Carolina,"257,636"
18,Saint Petersburg,Florida,"257,083"
19,Norfolk,Virginia,"246,393"
20,Winston-Salem,North Carolina,"241,218"
