Medal,Name,Sport,Event
Gold,Reza Nasseri Morteza Azimaei Majid Latifi Mohsen Zareei Mohammad Hashemzadeh Hossein Soltani Majid Raeisi Kazem Mohammadi Vahid Shamsaei Mohammad Taheri Majid Tikdarinejad Mostafa Nazari Mohammad Golzadeh Arash Sheini,Futsal,Men
Gold,Mohammad Akefian,Indoor athletics,Men 's 400 m
Gold,Abdolvahab Maroufi,Muay Thai,Men 's 86 kg
Silver,Hashem Khazaei Abolfazl Dehnavi Amir Piaho Mohammad Akefian,Indoor athletics,Men 's 4 × 400 m relay
Silver,Mehdi Shahrokhi,Indoor athletics,Men 's shot put
Silver,Hadi Sepehrzad,Indoor athletics,Men 's heptathlon
Silver,Masoud Izadi,Muay Thai,Men 's 57 kg
Silver,Vahid Roshani,Muay Thai,Men 's 75 kg
Bronze,Mohsen Rabbani,Indoor athletics,Men 's pole vault
Bronze,Mohammad Jafari,Sport climbing,Men 's lead
