Character / Team,Year Debuted,Company,Creator/s,First Appearance
Orka,1970,Marvel,"Roy Thomas , Marie Severin",Sub-Mariner # 23
Aries,1970 ; 1974 ; 1977 ; 1984 ; 1987 ; 1998,Marvel,"Roy Thomas , Sal Buscema ; Steve Englehart , Bob Brown ; David Anthony Kraft , Keith Giffen ; Dennis O'Neil , Luke McDonnell ; Steve Englehart , Al Milgrom ; Steve Seagle , Duncan Rouleau",The Avengers # 72 ; The Avengers # 120 ; The Defenders # 49 ; Iron Man # 184 ; West Coast Avengers Vol.2 # 26 ; Alpha Flight Vol.2 # 12
Appa Ali Apsa,1970,DC,"Dennis O'Neil , Neal Adams","Green Lantern Series 2 , # 76"
Arkon,1970,Marvel,"Roy Thomas , John Buscema",Avengers # 75
Lethal Legion,1970,Marvel,,Avengers # 78
Man-Bat,1970 ( June ),DC,"Frank Robbins , Neal Adams",Detective Comics ( vol . 1 ) # 400
Intergang ( Morgan Edge ),1970 ( October ),DC,Jack Kirby,Superman 's Pal Jimmy Olsen # 133
Darkseid,1970 ( November ),DC,Jack Kirby,Superman 's Pal Jimmy Olsen # 134
Llyra,1970,Marvel,"Roy Thomas , Sal Buscema",Sub-Mariner # 32
Ten-Eyed Man,1970,DC,"Frank Robbins , Irv Novick , Dick Giordano",Batman # 226
Kanto,1971,DC,Jack Kirby,Mister Miracle # 1
Kalibak,1971,DC,Jack Kirby,New Gods # 1
Parademons,1971,DC,Jack Kirby,New Gods # 1
Bruno Ugly Mannheim,1971,DC,Jack Kirby,Superman 's Pal Jimmy Olsen # 139
Deep Six,1971,DC,Jack Kirby,New Gods # 2
Doctor Bedlam,1971,DC,Jack Kirby,Mister Miracle # 2
Granny Goodness,1971,DC,Jack Kirby,Mister Miracle # 2
Desaad,1971 ( May ),DC,Jack Kirby,Forever People ( vol . 1 ) # 2
Mantis,1971 ( May ),DC,Jack Kirby,Forever People ( vol . 1 ) # 2
Glorious Godfrey,1971,DC,Jack Kirby,Forever People # 3
