Appearances,School,W,L,Pct,Games
3,Florida State,3,0,1.000,Won 1993 Orange Bowl Won 1994 Orange Bowl + Won 1995 Sugar Bowl ( January )
3,Florida,2,1,.666,Won 1992 Gator Bowl Won 1994 Sugar Bowl Lost 1995 Sugar Bowl ( January )
3,Notre Dame,2,1,.666,Won 1993 Cotton Bowl Classic Won 1994 Cotton Bowl Classic Lost 1995 Fiesta Bowl
3,Nebraska,1,2,0.333,Lost 1993 Orange Bowl Lost 1994 Orange Bowl + Won 1995 Orange Bowl +
3,Miami ( FL ),0,3,.000,Lost 1993 Sugar Bowl + Lost 1994 Fiesta Bowl Lost 1995 Orange Bowl +
2,Alabama,2,0,1.000,Won 1993 Sugar Bowl + Won 1993 Gator Bowl
2,Arizona,1,1,.500,Lost 1992 John Hancock Bowl Won 1994 Fiesta Bowl
2,Colorado,1,1,.500,Lost 1993 Fiesta Bowl Won 1994 Fiesta Bowl
2,North Carolina,0,2,.000,Lost 1993 Gator Bowl Lost 1994 Sun Bowl
2,Texas A & M,0,2,.000,Lost 1993 Cotton Bowl Classic Lost 1994 Cotton Bowl Classic
2,Texas Tech,0,2,.000,Lost 1993 John Hancock Bowl Lost 1995 Cotton Bowl Classic
1,Baylor,1,0,1.000,Won 1992 John Hancock Bowl
1,Oklahoma,1,0,1.000,Won 1993 John Hancock Bowl
1,Stanford,1,0,1.000,Won 1993 Blockbuster Bowl
1,Syracuse,1,0,1.000,Won 1993 Fiesta Bowl
1,Tennessee,1,0,1.000,Won 1994 Gator Bowl
1,Texas,1,0,1.000,Won 1994 Sun Bowl
1,USC,1,0,1.000,Won 1995 Cotton Bowl Classic
1,N.C. State,0,1,.000,Lost 1992 Gator Bowl
1,Penn State,0,1,.000,Lost 1993 Blockbuster Bowl
