Date UPP established,Unit ( Unidade ),UPP name,Neighborhood ( Bairro ),Zone within Rio
2 December 2013,36ª UPP,Camarista Méier,"Méier ( UPP includes communities of Camarista Méier , Cachoeira Grande , Santa Terezinha , Nossa Senhora da Guia , Morro do Céu Azul , Pretos Forros , Ouro Preto and Outeiro )",North Zone
2 December 2013,35ª UPP,Lins,"Lins de Vasconcelos ( UPP includes Lins , Encontro , Bacia , Cotia , Amor , Barro Vermelho , Barro Preto , Vila Cabuçu , Dona Francisca and Cachoeirinha )",North Zone
September 2013,34ª UPP,Parque Arará/Mandela,"Benfica ( Formerly part of UPP Manguinhos , the area of the UPP comprises Parque Arará and Comunidade do Mandela )",North Zone
May 2013,33ª UPP,Cerro-Corá,"Cosme Velho ( Area of UPP includes communities of Cerro-Corá , Guararapes , Vila Cândido , Coroado and Júlio Otoni )",South Zone
12 April 2013,32ª UPP,Barreira and Tuiuti,São Cristóvão ( UPP area is Barreira do Vasco and Tuiuti ),Centro
12 April 2013,31ª UPP,Caju,"Caju ( UPP includes communities of Clemente Ferreira , Chatuba , Parque Alegria , Vila dos Mexicanos , Vila Boa Esperança , Vila Tiradentes , Ladeira dos Funcionários ( also known as Vila São Sebastião , Cantinho do Céu or Vila dos Sonhos ) , Nove Galo ( also known as 950 or Parque da Conquista ) , Quinta do Caju , Manilha , Parque Vitória and Parque Nossa Senhora da Penha )",North Zone
16 January 2013,30ª UPP,Jacarezinho,"Jacaré ( UPP includes Tancredo Neves , Pica-Pau Amarelo , Vila São João , Xuxa , Marlene , Vila Viúva Claúdio , Marimbá , Jacarezinho , Carlos Drummond de Andrade and Vila Jandira )",North Zone
16 January 2013,29ª UPP,Manguinhos,"Manguinhos ( Area of UPP includes Manguinhos , Vila Turismo , Parque João Goulart , Parque Carlos Chagas ( or Varginha ) , Parque Oswaldo Cruz ( or Amorim ) , CHP2 ( or Vila União ) , Conjunto Nelson Mandela , Higienópolis , Vila São Pedro and Vitória de Manguinhos ( or Cobal )",North Zone
20 September 2012,28ª UPP,Rocinha,"Rocinha ( Area of UPP includes Rocinha , Bairro Barcelos , Largo do Boiadeiro , Vila Verde , Curva do S , Cachopinha , Cachopa , Dioneia Almir , Vila União , Cidade Nova , Rua Um , Rua Dois , Rua Três , Rua Quatro , Portão Vermelho , Vila Laboriaux , Vila Cruzado , 199 , Faz Depressa , Vila Vermelha , Capado , Terreirão , Macega , Roupa Suja and Parque da Cidade )",South Zone
28 August 2012,27ª UPP,Vila Cruzeiro,"Penha ( UPP includes Vila Cruzeiro , Cariri and Mira )",North Zone
August 2012,26ª UPP,Parque Proletário,"Penha ( UPP includes communities of Parque Proletário , Vila Proletária da Penha and Laudelino Freire )",North Zone
June 2012,25ª UPP,Chatuba,"Penha ( Area of UPP includes the communities of Chatuba , Parque Proletário do Grotão , Caixa dágua , Caracol and Laudelino Freire )",North Zone
27 June 2012,24ª UPP,Fé/Sereno,"Penha ( UPP area includes Fé , Sereno , Paz , Frei Gaspar and Maturacá )",North Zone
30 May 2012,23ª UPP,Alemão,"Complexo do Alemão ( Area of UPP includes Morro do Alemão , Pedra do Sapo , Morro da Esperança , Armando Sodré and Areal )",North Zone
11 May 2012,22ª UPP,Adeus/Baiana,Bonsucesso ( Area of UPP includes Morro do Piancó and the communities of Itararé and Horácio Picoreli ),North Zone
18 April 2012,21ª UPP,Nova Brasília,"Bonsucesso ( Area of UPP includes Nova Brasília , Ipê Itararé , Mourão Filho , Largo Gamboa , Cabão , Joaquim de Queiroz , Loteamento , Prédios , Jardim Guadalajara , Aterro I and Aterro II )",North Zone
18 April 2012,20ª UPP,Fazendinha,"Inhaúma ( Area of UPP includes Fazendinha , Relicário , Palmeirinha , Morro das Palmeiras , Vila Matinha , Parque Alvorada , Te Contei , Rua Um and Casinhas )",North Zone
18 January 2012,19ª UPP,Vidigal,Vidigal ( Area of UPP includes Vidigal and Chácara do Céu ),South Zone
3 November 2011,18ª UPP,Mangueira,"São Cristóvão Mangueira , and Benfica ( Area of UPP includes the communities of Mangueira , Morro do Telégrafo , Parque Candelária , Vila Miséria , Bartolomeu Gusmão , Marechal Jardim , Buraco Quente , Minhocão and Parque dos Mineiros )",North Zone
17 May 2011,17ª UPP,São Carlos,"Estácio and Rio Comprido ( Area of UPP includes Morro do São Carlos , Querosene , Mineira , Zinco , Azevedo Lima , Clara Nunes and Favela do Rato )",Centro
