Date,Name,Nationality,Moving from,Moving to,Fee
2010-09-01,Adrian Piţ,Romania,Roma,Universitatea Cluj,"€5,000"
2010-09-02,Massimo Zappino,Brazil,Como,Varese,Free
2010-09-02,Ângelo,Brazil,Lecce,Parma,Free
2010-09-03,Riccardo Ragni,Italy,Pescara,Ebolitana ( amateur ),Loan
2010-09-03,Zdeněk Zlámal,Czech Republic,Udinese,Slavia Prague,Loan
2010-09-03,Marco Bonassi,Italy,Juventus,Voghera ( amateur ),Loan
2010-09-08,Maurizio Lanzaro,Italy,Reggina,Zaragoza,Free
2010-09-08,Kewullay Conteh,Sierra Leone,Grosseto,Piacenza,Free
2010-09-10,Claudio Bellucci,Italy,Sampdoria,Modena,Free
2010-09-10,Antonio Filippini,Italy,Livorno,Brescia,Free
2010-09-13,Roberto Baronio,Italy,Lazio,Atletico Roma,Free
2010-09-13,Mauro Esposito,Italy,Roma,Atletico Roma,Free
2010-09-16,Massimo Margiotta,Venezuela,Vicenza,Barletta,Free
2010-09-20,Jaroslav Šedivec,Czech Republic,Triestina,Salernitana,Free
2010-09-21,Maurizio Nassi,Italy,Mantova,Cittadella,Free
2010-09-23,Edoardo Catinali,Italy,Ancona,Piacenza,Free
2010-09-29,Francesco Galeoto,Italy,Crotone,Barletta,Free
2010-10-25,Salvatore Lanna,Italy,Bologna,Reggiana,Free
2010-09-29,Alex Calderoni,Italy,Triestina,Atletico Roma,Free
2010-09-29,Gabriel Ferrari,United States,Sampdoria,Wohlen,Free
