Club,Location,2011 Championship Position,2012 Championship Position
Blackhall Gaels,Batterstown,Non Qualifier,Non Qualifier
Donaghmore/Ashbourne,Ashbourne,Semi Finalist,Semi Finalist
Duleek/Bellewstown,Duleek,Relegation Play Off,Non Qualifier
Dunshaughlin,Dunshaughlin,Finalist,Non Qualifier
Moynalvey,Moynalvey,Intermediate Champions,Non Qualifier
Navan O'Mahonys,Navan,Quarter Finalist,Champions
Nobber,Nobber,Relegation Play Off,Non Qualifier
Oldcastle,Oldcastle,Non Qualifier,Non Qualifier
Rathkenny,Rathkenny,Non Qualifier,Non Qualifier
Seneschalstown,Kentstown,Non Qualifier,Semi Finalist
Simonstown Gaels,Navan,Quarter Finalist,Quarter Finalist
Skryne,Skryne,Non Qualifier,Non Qualifier
St Patricks,Stamullen,Non Qualifier,Quarter Finalist
St Peters Dunboyne,Dunboyne,Quarter Finalist,Quarter Finalist
Summerhill,Summerhill,Champions,Quarter Finalist
Walterstown,Navan,Quarter Finalist,Non Qualifier
Wolfe Tones,Kilberry,Semi Finalist,Finalist
