LOCATION,ICAO,AIRPORT NAME
Barrillas,MSBS,Barrillas Airport
Cangrejera,MSCS,Las Cachas Airport
Ceiba Doblada,MSCD,Ceiba Doblada Airport
Corral de Mulas,MSCM,Corral de Mulas Airport
Corral de Mulas,MSSJ,Punta San Juan Airport
El Jocotillo,MSJC,El Jocotillo Airport
El Platanar,MSPT,El Platanar Airport
Metapán,MSRC,El Ronco Airport - closed
El Tamarindo,MSET,El Tamarindo Airport
El Zapote,MSZT,El Zapote Airport
Espiritu Santo,MSES,Espiritu Santo Airport
Jiquilisco,MSCN,Casas Nuevas Airport
La Cabaña,MSLC,La Cabaña Airport
Jiquilisco,MSCR,La Carrera Airport
La Chepona,MSCH,La Chepona Airport
San Francisco Gotera,MSLD,Los Comandos Airport
San Miguel,MSSM,El Papalon Airport
San Miguel,MSAC,La Aramuaca Airport
San Salvador,MSLP,Óscar Arnulfo Romero International Airport
San Salvador,MSSS,Ilopango International Airport
