Church,Dates,"City , State"
Wesley Temple AME Church,1928 built 1994 NRHP-listed,"Akron , Ohio"
"First Methodist Episcopal Church of Alliance , Ohio",built NRHP-listed,"Alliance , Ohio"
Bethel Methodist Church,1818 built 1978 NRHP-listed,"Bantam , Ohio"
Canal Winchester Methodist Church,built NRHP-listed,"Canal Winchester , Ohio"
First Methodist Episcopal Church,built NRHP-listed,"Canton , Ohio"
Chesterville Methodist Church,1851 built 1979 NRHP-listed,"Chesterville , Ohio"
Clifton Methodist Episcopal Church,built NRHP-listed,"Cincinnati , Ohio"
First German Methodist Episcopal Church,built NRHP-listed,"Cincinnati , Ohio"
Hyde Park Methodist Episcopal Church,built NRHP-listed,"Cincinnati , Ohio"
Northside United Methodist Church,built NRHP-listed,"Cincinnati , Ohio"
Salem Methodist Church,built NRHP-listed,"Cincinnati , Ohio"
Westwood United Methodist Church,built NRHP-listed,"Cincinnati , Ohio"
Winton Place Methodist Episcopal Church,built NRHP-listed,"Cincinnati , Ohio"
Pansy Methodist Church,built NRHP-listed,"Clarksville , Ohio"
"First Methodist Church ( Cleveland , Ohio )",built NRHP-listed,"Cleveland , Ohio"
St. John 's AME Church,built NRHP-listed,"Cleveland , Ohio"
Broad Street United Methodist Church,built NRHP-listed,"Columbus , Ohio"
"King Avenue United Methodist Church ( Columbus , Ohio )",built NRHP-listed,"Columbus , Ohio"
"Methodist Episcopal Church ( Crestline , Ohio )",built NRHP-listed,"Crestline , Ohio"
Stratford Methodist Episcopal Church,built NRHP-listed,"Delaware , Ohio"
