Team,Location,Stadium,Capacity
Phitsanulok,Phitsanulok,Phitsanulok Provincial Administrative Organization Stadium,"3,000"
Chiangmai,Chiang Mai,700th Anniversary Stadium,"25,000"
Lamphun Warior,Lamphun,Mae-Guang Stadium,"3,000"
Phichit,Phichit,Phichit Stadium,"20,000"
Uttaradit,Uttaradit,Uttaradit Province Stadium,"3,250"
Nakhon Sawan,Nakhon Sawan,Nakhon Sawan Province Stadium,15000
Kamphaeng Phet,Kamphaeng Phet,Cha-Kangrao Stadium,"2,600"
Uthai Thani Forest,Uthai Thani Nakhon Sawan,Uthai Thani Province Stadium Latyaowitthayakhom School,"4,500 ?"
Tak,Tak,Tak Provincial Administrative Organization Stadium,"1,100"
Lampang,Lampang,Lampang Province Stadium,"4,700"
Phrae United,Phrae,Phrae Provincial Administrative Organization Stadium,"4,500"
Sukhothai,Sukhothai,Sukhothai Institute of Physical Education Stadium Bunsom martin Stadium,"4,500"
Phetchabun,Phetchabun,Phetchabun Institute of Physical Education Stadium,2000
Chiangrai City,Chiangrai,Chiangrai Province Stadium,"5,000"
Phayao,Phayao,Phayao Province Stadium,"6,000"
Nan,Nan,Rajamangala University of Technology Nan Campus Stadium,"2,500"
