Player,2010 Club,2011 Club
Israel Folau,Brisbane Broncos,Greater Western Sydney Giants ( Australian rules football )
Ashton Sims,Brisbane Broncos,North Queensland Cowboys
Antonio Winterstein,Brisbane Broncos,North Queensland Cowboys
Scott Logan,Canberra Raiders,Retirement
Adam Mogg,Canberra Raiders,Retirement
Joel Monaghan,Canberra Raiders,Super League : Warrington Wolves
Troy Thompson,Canberra Raiders,Melbourne Storm
Yileen Gordon,Canterbury-Bankstown Bulldogs,Penrith Panthers
Ben Hannant,Canterbury-Bankstown Bulldogs,Brisbane Broncos
Jarrad Hickey,Canterbury-Bankstown Bulldogs,Super League : Wakefield Trinity Wildcats
Brett Kimmorley,Canterbury-Bankstown Bulldogs,Retirement
Luke Patten,Canterbury-Bankstown Bulldogs,Super League : Salford City Reds
Trent Barrett,Cronulla-Sutherland Sharks,Retirement
Luke Covell,Cronulla-Sutherland Sharks,Retirement
Adam Cuthbertson,Cronulla-Sutherland Sharks,St. George Illawarra Dragons
Blake Ferguson,Cronulla-Sutherland Sharks,Canberra Raiders
Grant Millington,Cronulla-Sutherland Sharks,Canterbury-Bankstown Bulldogs
Jordan Atkins,Gold Coast Titans,Parramatta Eels
Aaron Cannings,Gold Coast Titans,Retirement
Josh Graham,Gold Coast Titans,Retirement
