Name,Pos,S / G,Age,Club
James Barton,F,R,19,Sydney Wolf Pack
Nathaniel Benson,F,L,18,Carleton Place Jr. Canadians
Andrew Chen,F,R,19,Adelaide Generals
Will Clifford,D,,18,Brisbane Blitz
Julian Fodor,F,R,19,Sicamous Eagles
Jeremy Friederich,G,R,17,Adelaide Generals
Zachery Gumm,F,R,18,Windsor Aces
Benjamin Handberg,F,R,18,
Kenshin Hayashi ( A ),D,L,19,
Thomas Kiliwnik,D,R,19,Brisbane Blitz
Connor Lee,F,R,18,Steele County Blades
Yannic Lodge,F,L,19,Perth Sharks
Jack Ransome,F,L,19,Sydney Wolf Pack
Arum Rapchuk,F,L,17,Brisbane Blitz
Jake Riley,F,R,19,Tranås AIF J20
Dylan Sables,D,R,18,Sydney Sabres
James Urweiss,F,R,19,Sydney Sabres
Arthur Wang,D,L,17,Whitby Fury
Alexander Wardlaw,F,R,19,Sydney Wolf Pack
Sebastian Woodlands,G,L,19,Detroit Fighting Irish
