Retail chain,Type,Number of stores,Headquarters
C & A,Clothing,40,Belgium / Germany
Ryłko,Shoes,146,Poland
Deep,Clothing,89,Germany
Esotiq,Clothing,158,Germany
Peek & Cloppenburg,Clothing,10,Germany
Cubus,Clothing,51,Norway
Deichmann,Shoes,233,Germany
CCC,Shoes,450,Poland
Decathlon,Sports goods,25,France
4F,"Clothing , sports goods",274,Poland
5.10.15,Children 's clothing,220,Poland
Triumph,Clothing,35,Switzerland
Adidas,"Clothing , sports goods",9,Germany
Big Star,Clothing,220,Poland
Cropp,Clothing,200,Poland
Diverse,Clothing,270,Poland
Factory Outlet,Clothing,5,Spain
House,Clothing,165,Poland
H & M,Clothing,100,Sweden
Kappahl,Clothing,32,Sweden
