Electoral district,Member,Party
Arm River,George Adam Scott,Liberal
Bengough,Thomas Evan Gamble,Liberal
Biggar,Robert Pelham Hassard,Liberal
Cannington,Albert Edward Steele,Liberal
Canora,Joseph Albert McClure,Progressive
Cumberland,Deakin Alexander Hall,Liberal
Cut Knife,William Hamilton Dodds,Liberal
Cypress,Henry Theodore Halvorson,Liberal
Elrose,Wilbert Hagarty,Liberal
Estevan,James Forbes Creighton,Independent
Francis,Walter George Robinson,Liberal
Gravelbourg,Benjamin Franklin McGregor,Liberal
Hanley,Reginald Stipe,Progressive
Happyland,John Joseph Keelan,Liberal
Humboldt,Henry Mathies Therres,Independent Liberal
Île-à-la-Crosse,Joseph Octave Nolin,Liberal
Jack Fish Lake,Donald M. Finlayson,Liberal
Kerrobert,John Albert Dowd,Liberal
Kindersley,Ebenezer Samuel Whatley,Progressive
Kinistino,Charles McIntosh,Liberal
