Team,Sponsor,Kit maker,Team captain,Head coach
Bangkok Glass,Leo Beer,Umbro,Amnaj Kaewkiew,Carlos Roberto de Carvalho
Bangkok United,True,FBT,Patiparn Phetphun,Prapol Pongpanich
BEC Tero Sasana,3K Battery,Nike,Anon Sangsanoi,Peter Butler
Buriram PEA,Chang Beer,,Apichet Puttan,Attaphol Buspakom
Chonburi,Chang Beer,FBT,Pipob On-Mo,Jadet Meelarp
Muangthong United,Yamaha,Adidas,Jetsada Jitsawad,René Desaeyere
Osotspa Saraburi,M-150,Grand Sport,Jetsada Puanakunmee,Pairoj Borwonwattanadirok
Pattaya United,Ocean One,Grand Sport,Niweat Siriwong,Thavatchai Dumrong-Ongtrakul
Police United,Insee Cement,,Krissadee Prakobkong,Chaiyong Khumpiam
Rajnavy Rayong,PTT,Umbro,Jetsada Ngam-muang,Somsak Aksorn
Royal Thai Army,Acer,Grand Sport,Chaiwat Nark-iam,Amnart Chalermchaowarit
Samut Songkhram,SCG,Kappa,Jirawat Kaewboran,Somchai Chuayboonchum
Sisaket,Muang Thai,Kool Sport,Piroj Anantanarong,Wisoon Wichaya
Thai Port,FB Battery,Adidas,Sarayoot Chaikamdee,Sasom Pobprasert
TOT-CAT,TOT - CAT,Diadora,Theerachai Ngamcharoen,Narong Suwannachot
TTM Phichit,GH Bank,Diadora,Peeratat Phoruendee,José Alves Bervis
