Code,Nation/Team,Other codes used
AHO,Netherlands Antilles,ATO ( 1960 ) NAN ( 1964 ) code from French Antille hollandaises
ANZ,Australasia,Also AUA
BOH,Bohemia,
BWI,British West Indies,ANT ( 1960 1968 ) from Antilles WID ( 1964 )
EUA,United Team of Germany,GER ( 1956-1964 ) code taken from French Équipe unifiée d'Allemagne
EUN,Unified Team,code from the French Équipe unifiée or Spanish Equipo Unificado
FRG,West Germany,ALL ( 1968 W ) from French Allemagne ALE ( 1968 S ) from Spanish Alemania GER ( 1972-1976 ) code FRG taken from Federal Republic of Germany
GDR,East Germany,ADE ( 1968 ) from Spanish Alemania Democrática code GDR taken from German Democratic Republic
RU1,Russian Empire,
SCG,Serbia and Montenegro,code from Serbian Србија и Црна Гора / Srbija i Crna Gora
TCH,Czechoslovakia,CSL ( 1956 W ) CZE ( 1960 W ) CSV ( 1960 S ) CZS ( 1964 S ) CHE ( 1968 S ) from Spanish Checoslovaquia code taken from French Tchécoslovaquie
URS,Soviet Union,SOV ( 1968 W ) code from French Union des républiques socialistes soviétiques ( URSS )
YUG,Yugoslavia,JUG ( 1956-1960 1968 W ) from Југославија/Jugoslavia in native languages YUS ( 1964 S )
ZZX,Mixed team,
