Name,Chartered,Institution,Location
Mu Alpha,"April 12 , 1975",Virginia Polytechnic Institute and State University,"Blacksburg , Virginia"
Mu Beta,1975,George Washington University,"Washington , District of Columbia"
Mu Gamma,"May 4 , 1975",Cornell University,"Ithaca , New York"
Mu Delta,1975,University of Findlay,"Findlay , Ohio"
Mu Epsilon,"May 9 , 1975",University of Kentucky,"Lexington , Kentucky"
Mu Zeta,"May 21 , 1975","University of Tennessee , Knoxville","Knoxville , Tennessee"
Mu Eta,1975,University of Arizona,"Tucson , Arizona"
Mu Theta,"May 23 , 1975",Lewis University,"Romeoville , Illinois"
Mu Iota,"May 16 , 1975",University of Central Florida,"Orlando , Florida"
Mu Kappa,"June 21 , 1975",University of Arkansas at Little Rock,"Little Rock , Arkansas"
Mu Lambda,1975,New Mexico State University,"Las Cruces , New Mexico"
Mu Mu,1975,"Towson , Maryland City-Wide ( Towson University and Stevenson University )","Towson , Maryland"
Mu Nu,"July 27 , 1975",University of Southern Mississippi,"Hattiesburg , Mississippi"
Mu Xi,1975,Augusta State University,"Augusta , Georgia"
Mu Omicron,"October 25 , 1975",North Carolina State University,"Raleigh , North Carolina"
Mu Pi,"October 26 , 1975",University of Delaware,"Newark , Delaware"
Mu Rho,1975,Vanderbilt University,"Nashville , Tennessee"
Mu Sigma,1975,Cameron University,"Lawton , Oklahoma"
Mu Tau,1976,University of New Orleans,"New Orleans , Louisiana"
Mu Upsilon,"February 7 , 1976",College of William and Mary,"Williamsburg , Virginia"
