Player,Pos,Bastia career,Match,Goal,Nationality
Cyril Eboki-Poh,Forward,1999-2003,2,0,France
Yves Ehrlacher,Midfielder,1981-1982,24,3,France
Austin Ejide,Goalkeeper,2006-2009,44,0,Nigeria
Yassin El-Azzouzi,Forward,2010-,14,5,France
Aziz El Ouali,Midfielder,1993-1994,30,3,Morocco
Roland Erhardt,Defender,1967-1969,5,0,France
Michael Essien,Midfielder,2000-2003,65,11,Ghana
Paul-Hervé Essola,Midfielder,1999-2001 and 2002-2006,17,0,Cameroon
Jean-Jacques Etamé,Midfielder,1997-1998,18,1,Cameroon
Jean-Jacques Eydelie,Midfielder,1995-1997,54,1,France
