Year signed as DP,Player,Current club,2019 guaranteed compensation
2014,Ignacio Piatti,Montreal Impact,"$ 4,443,333"
2015,Jozy Altidore,Toronto FC,"$ 6,332,250"
2016,Nicolás Lodeiro,Seattle Sounders FC,"$ 2,502,500"
2016,Alejandro Bedoya,Philadelphia Union,"$ 1,266,250"
2017,Chris Wondolowski,San Jose Earthquakes,"$ 800,000"
2017,Alberth Elis,Houston Dynamo,"$ 650,340"
2017,Albert Rusnák,Real Salt Lake,"$ 2,001,667"
2017,Josef Martínez,Atlanta United,"$ 3,058,333"
2017,Sebastián Blanco,Portland Timbers,"$ 1,375,008"
2017,Maximiliano Moralez,New York City FC,"$ 2,000,000"
2017,Valeri Qazaishvili,San Jose Earthquakes,"$ 1,604,042"
2017,Tomás Martínez,Houston Dynamo,"$ 386,804"
2017,Jonathan dos Santos,LA Galaxy,"$ 2,000,000"
2017,Pedro Santos,Columbus Crew SC,"$ 864,560"
2017,Paul Arriola,D.C. United,"$ 707,000"
2018,Dom Dwyer,Orlando City,"$ 1,503,333"
2018,Carlos Vela,Los Angeles FC,"$ 6,300,000"
2018,Diego Rossi,Los Angeles FC,"$ 1,052,000"
2018,Jesús Medina,New York City FC,"$ 870,833"
2018,Ezequiel Barco,Atlanta United,"$ 1,425,000"
