Rank,Square Footage,Fraternity or Sorority,University Affiliation,Location,Year Completed
1,"55,500",Phi Gamma Delta,Indiana University,"Bloomington , Indiana",2016
2,"46,356",Kappa Kappa Gamma,University of Arkansas,"Fayetteville , Arkansas",2013
3,"42,000",Pi Beta Phi,University of Arkansas,"Fayetteville , Arkansas",2016
4,"40,352",Delta Chi,Florida State University,"Tallahassee , Florida",2005
5 ( tie ),"40,000",Alpha Chi Omega,University of Alabama,"Tuscaloosa , Alabama",2014
5 ( tie ),"40,000",Delta Upsilon,University of Missouri,"Columbia , Missouri",2015
5 ( tie ),"40,000",Gamma Phi Beta,University of Alabama,"Tuscaloosa , Alabama",2015
8,"39,500",Pi Kappa Alpha,Florida State University,"Tallahassee , Florida",2005
9,"39,264",Sigma Pi,Florida State University,"Tallahassee , Florida",2005
10,"38,853",FarmHouse,Oklahoma State University,"Stillwater , Oklahoma",2012
11,"36,884",Theta Phi Alpha,Indiana University,"Bloomington , IN",2016
12,"36,818",Alpha Gamma Rho,Oklahoma State University,"Stillwater , Oklahoma",2015
13,"35,000",Phi Kappa Psi,University of Kansas,"Lawrence , Kansas",2005
14,"34,800",Delta Gamma,University of Alabama,"Tuscaloosa , Alabama",2012
15,"33,783",Alpha Tau Omega,University of Alabama,"Tuscaloosa , Alabama",2011
16,"33,557",Chi Omega,University of Missouri,"Columbia , Missouri",2013
17,"32,445",Beta Theta Pi,University of Missouri,"Columbia , Missouri",2012
18,"32,400",Delta Tau Delta,Iowa State University,"Ames , Iowa",2015
19,"32,000",Pi Kappa Alpha,Oklahoma State University,"Stillwater , Oklahoma",2017
20 ( tie ),"31,000",Pi Kappa Phi,University of Alabama,"Tuscaloosa , Alabama",2014
