Medal,Name,Sport,Event
Gold,Ashok Pandit,Shooting,Centre-Fire Pistol
Gold,Chandersekaran Raghavan,Weightlifting,Flyweight-Snatch
Gold,Chandersekaran Raghavan,Weightlifting,Flyweight-Clean and Jerk
Gold,Chandersekaran Raghavan,Weightlifting,Flyweight-Overall
Gold,Rangaswamy Punnuswamy,Weightlifting,Bantamweight-Snatch
Gold,Rangaswamy Punnuswamy,Weightlifting,Bantamweight-Clean and Jerk
Gold,Rangaswamy Punnuswamy,Weightlifting,Bantamweight-Overall
Gold,Parvesh Chander Sharma,Weightlifting,Featherweight-Clean and Jerk
Gold,Parvesh Chander Sharma,Weightlifting,Featherweight-Overall
Gold,Paramjit Sharma,Weightlifting,Lightweight-Snatch
Gold,Paramjit Sharma,Weightlifting,Lightweight-Clean and Jerk
Gold,Paramjit Sharma,Weightlifting,Lightweight-Overall
Gold,Karnadhar Mondal,Weightlifting,Middleweight-Snatch
