Rank,Title,Studio,Total Gross ( in millions )
1,Alice in Wonderland,Disney,$ 36.71
2,Inception,Warner Bros,$ 33.44
3,Toy Story 3,Disney/ Pixar,$ 33.13
4,Iron Man 2,Paramount,$ 27.97
5,Harry Potter and the Deathly Hallows : Part 1,Warner Bros,$ 27.22
6,The Twilight Saga : Eclipse,Summit,$ 26.73
7,Shrek Forever After,Paramount/ DreamWorks,$ 23.41
8,Despicable Me,Universal,$ 21.89
9,How To Train Your Dragon,Paramount/DreamWorks,$ 20.58
10,Clash of the Titans,Warner Bros,$ 15.99
11,Grown Ups,Columbia,$ 15.30
12,The Karate Kid,Columbia,$ 14.51
13,Shutter Island,Paramount,$ 14.00
14,Salt,Columbia,$ 13.86
15,Robin Hood,Columbia,$ 13.13
16,The Expendables,Liongates,$ 13.04
17,Megamind,Paramount/DreamWorks,$ 12.44
18,Jackass 3D,Paramount,$ 12.32
19,Tangled,Disney,$ 11.36
20,The Other Guys,Columbia,$ 11.25
