Year,Round,Pick,Name,From
1962,1,1,Bill McGill,University of Utah
1962,2,8,Terry Dischinger,Purdue University
1962,3,17,Don Nelson,University of Iowa
1962,5,35,Cornell Green,Utah State University
1962,6,44,Bill Hanson,University of Washington
1962,7,53,Jack Ardon,Tulane University
1962,8,61,Larry Pursiful,University of Kentucky
1962,9,70,Carroll Broussard,Texas A & M University
1962,10,79,Pete Campbell,Princeton University
1962,11,85,Jeff Slade,Kenyon College
1962,12,90,Mel Nowell,Ohio State University
1962,13,93,Tom Kennedy,Lewis University
1962,14,95,Bob Mahland,Williams College
1962,15,97,Pat McKenzie,Kansas State University
1962,16,99,Norman Majors,Rockhurst University
