Year,Film,Co-actor,Direction,Notes
1981,Garjane,Rajinikanth,C. V. Rajendran,As Geetha
1981,Garuda Rekhe,"Srinath , Ambika",P S Prakash,
1981,Anupama,Ananth Nag,Renuka Sharma,as Anupama
1982,Haalu Jenu,"Rajkumar , Roopadevi",Singeetham Srinivasa Rao,as Kamala
1982,Gandugali Rama,Vishnuvardhan,H. R. Bhargava,
1983,Onde Guri,Vishnuvardhan,H. R. Bhargava,
1983,Chinnadantha Maga,Vishnuvardhan,K. S. R. Das,As
1984,Chanakya,Vishnuvardhan,H. R. Bhargava,
1984,Rudranaga,Vishnuvardhan,K.Mani Murugan,
1984,Shiva Kanye,Ramakrishna,Singeetham Srinivasa Rao,
1984,Khaidi,Vishnuvardhan,K. S. R. Das,
1985,Gedda Maga,Shankar Nag,Singeetham Srinivasa Rao,
1986,Bhagyada Lakshmi Baramma,Rajkumar,Singeetham Srinivasa Rao,As Parvati
1986,Anuraga Aralithu,Rajkumar,M. S. Rajashekar,As Ashadevi
1986,Malaya Marutha,Vishnuvardhan,K. S. L. Swamy,As Girija
1987,Shruthi Seridaaga,Rajkumar,Chi . Dattaraj,As Radha
1988,Ramanna Shamanna,"Ravichandran , Ambareesh",Subbarao B,Music Director : S. P. Balasubrahmanyam
1992,Jeevana Chaitra,Rajkumar,Dorai-Bhagavan,As Meenakshi
1993,Aakasmika,Rajkumar,T. S. Nagabharana,As Clara
1994,Odahuttidavaru,Rajkumar,Dorai-Bhagavan,
