Language,Number of Speakers,Location
Telugu,"81,100,000","Andhra Pradesh , Telangana and parts of Tamil Nadu , Karnataka , Maharashtra , Odisha , Chhattisgarh , Andaman and Nicobar Islands , Puducherry , United States , Malaysia , Saudi Arabia , Kuwait , Oman , Mauritius , Australia , South Africa , Canada , UK , UAE , Myanmar , France and Réunion"
Gondi,"2,980,000","Madhya Pradesh , Maharashtra , Chhattisgarh , Telangana , Odisha , Andhra Pradesh"
Muria,"1,000,000","Chhattisgarh , Maharashtra , Odisha"
Kui,"942,000","Odisha , Andhra Pradesh"
Koya,"360,000","Andhra Pradesh , Telangana , Chhattisgarh"
Madiya,"360,000","Chhattisgarh , Telangana , Maharashtra"
Kuvi,"155,000","Odisha , Andhra Pradesh"
Pengo,"350,000",Odisha
Pardhan,"135,000","Telangana , Chhattisgarh , Maharashtra , Madhya Pradesh"
Khirwar,"36,400",Chhattisgarh ( Surguja district )
Chenchu,"26,000","Andhra Pradesh , Telangana"
Konda,"20,000","Andhra Pradesh , Odisha"
Manda,"4,040",Odisha
