Year,Competition,Venue,Placed,Event
1988,Olympic Games,Seoul,Silver,Men 's doubles
1993,World Cup,Guangzhou,Gold,Men 's singles
1997,World Cup,Nimes,Gold,Men 's singles
1994,World Cup,Taipei,Bronze,Men 's singles
1998,World Cup,Shantou,Bronze,Men 's singles
1999,World Cup,Xiaolan,Bronze,Men 's singles
2002,World Cup,Jinan,Bronze,Men 's singles
1987,World Championships,New Delhi,Bronze,Men 's team
1987,World Championships,New Delhi,Silver,Men 's doubles
1991,World Championships,Chiba,Silver,Men 's team
1993,World Championships,Gothenburg,Bronze,Men 's singles
1995,World Championships,Tianjin,Silver,Men 's doubles
1999,World Championships,Eindhoven,Bronze,Men 's doubles
1986,European Championships,Prague,Bronze,Men 's doubles
1988,European Championships,Paris,Silver,Men 's doubles
1990,European Championships,Gothenburg,Bronze,Men 's team
1990,European Championships,Gothenburg,Gold,Men 's doubles
1992,European Championships,Stuttgart,Bronze,Men 's singles
1992,European Championships,Stuttgart,Bronze,Mixed doubles
1994,European Championships,Birmingham,Bronze,Men 's singles
