Year,Competition,Venue,Position,Notes
1994,New York City Marathon,"New York City , United States",1st,Marathon
1995,New York City Marathon,"New York City , United States",1st,Marathon
1996,Boston Marathon,"Boston , United States",2nd,Marathon
1996,New York City Marathon,"New York City , United States",7th,Marathon
1997,Rotterdam Marathon,"Rotterdam , Netherlands",1st,Marathon
1997,New York City Marathon,"New York City , United States",7th,Marathon
1997,Osaka International Ladies Marathon,"Osaka , Japan",7th,Marathon
1998,Rotterdam Marathon,"Rotterdam , Netherlands",1st,Marathon
1998,New York City Marathon,"New York City , United States",3rd,Marathon
1999,Osaka International Ladies Marathon,"Osaka , Japan",2nd,Marathon
1999,Rotterdam Marathon,"Rotterdam , Netherlands",1st,Marathon
1999,Berlin Marathon,"Berlin , Germany",1st,Marathon
2000,Rome Marathon,"Rome , Italy",1st,Marathon
2000,London Marathon,"London , England",1st,Marathon
2000,Sydney Marathon,"Sydney , Australia",13th,Marathon
2000,New York City Marathon,"New York City , United States",6th,Marathon
2001,London Marathon,"London , England",8th,Marathon
2001,Berlin Marathon,"Berlin , Germany",2nd,Marathon
2002,Nagoya Women 's Marathon,"Nagoya , Japan",7th,Marathon
2002,Lausanne Marathon,"Lausanne , Switzerland",1st,Marathon
