Franchise,0 0 Most recent 0 0 division title,0 Year 0,Seasons
Cleveland Browns,AFC Central,1989,27**
Detroit Lions,NFC Central,1993,26
Buffalo Bills,AFC East,1995,24
Las Vegas Raiders,AFC West,2002,17
New York Jets,AFC East,2002,17
Tampa Bay Buccaneers,NFC South,2007,12
Miami Dolphins,AFC East,2008,11
Tennessee Titans,AFC South,2008,11
Los Angeles Chargers,AFC West,2009,10
New York Giants,NFC East,2011,8
Indianapolis Colts,AFC South,2014,5
Arizona Cardinals,NFC West,2015,4
Carolina Panthers,NFC South,2015,4
Cincinnati Bengals,AFC North,2015,4
Denver Broncos,AFC West,2015,4
Washington Redskins,NFC East,2015,4
Seattle Seahawks,NFC West,2016,3
Atlanta Falcons,NFC South,2016,3
Pittsburgh Steelers,AFC North,2017,2
Jacksonville Jaguars,AFC South,2017,2
