Year,Winner,Jockey,Trainer,Owner,Time
2019,Bellafina,Flavian Pratt,Simon Callaghan,Kaleem Shah,1:35.99
2018,Dream Tree,Drayden Van Dyke,Bob Baffert,Phoenix Thoroughbred III,1:39.45
2017,Unique Bella,Mike E. Smith,Jerry Hollendorfer,Don Alberto Stable,1:35.66
2016,Songbird,Mike E. Smith,Jerry Hollendorfer,Fox Hill Farms,1:36.84
2015,Callback,Martin Garcia,Bob Baffert,Spendthrift Farm,1:36.92
2014,Fashion Plate,Gary Stevens,Simon Callaghan,Zetcher/Tabor,1:37.22
2013,Beholder,Garrett Gomez,Richard Mandella,Spendthrift Farm,1:36.14
2012,Eden 's Moon,Martin Garcia,Bob Baffert,Kaleem Shah,1:35.27
2011,Zazu,Joel Rosario,John W. Sadler,Ann & Jerry Moss,1:34.86
2010,Blind Luck,Rafael Bejarano,Jerry Hollendorfer,DeDomenico/Carver/Hollendorfer,1:35.98
2009,Stardom Bound,Mike E. Smith,Robert J. Frankel,IEAH Stables /partners,1:36.43
2008,Golden Doc A,Rafael Bejarano,Barry Abrams,Ron McCauley,1:35.86
2007,Rags to Riches,Garrett Gomez,Michael McCarthy,Derrick Smith / Michael Tabor,1:37.85
2006,Balance,Victor Espinoza,David Hofmans,Amerman Racing,1:36.54
2005,Sharp Lisa,Corey Nakatani,Doug O'Neill,"Reddam , Suarez Racing et al",1:35.64
2004,A. P. Adventure,Alex Solis,Wallace Dollase,Robert & Beverly Lewis,1:36.50
2003,Composure,Jerry Bailey,Bob Baffert,Robert & Beverly Lewis,1:36.13
2002,You,Jerry Bailey,Robert J. Frankel,Edmund A. Gann,1:38.84
2001,Golden Ballet,Chris McCarron,Jenine Sahadi,Team Valor /Heiligbrodt Racing,1:36.89
2000,Surfside,Pat Day,D. Wayne Lukas,Overbrook Farm,1:37.00
