Team,Stadium,Capacity or seats
FC DAC 1904 Dunajská Streda,MOL Aréna,"12,700"
FC Spartak Trnava,Anton Malatinský Stadium,"19,200"
FC ViOn Zlaté Moravce,Štadión FC ViOn,"3,787"
AS Trenčín,Štadión na Sihoti,"3,500"
FK Senica,OMS ARENA Senica,"4,500"
MFK Ružomberok,Štadión pod Čebraťom,"4,817"
ŠKF Sereď,Štadión pod Zoborom,"7,480"
MFK Zemplín Michalovce,Mestský futbalový štadión,"4,440"
MŠK Žilina,Štadión pod Dubňom,"11,258"
ŠK Slovan Bratislava,Tehelné pole,"22,500"
FK Pohronie,Mestský štadión,"2,309"
FC Nitra,Štadión pod Zoborom,"7,480"
