Ethnic groups,Population ( million ),Percentage,Main Regions
Javanese,95.217,40.2,"Central Java , Yogyakarta , East Java , Lampung , Jakarta"
Sundanese,31.765,15.4,"West Java , Banten , Lampung"
Malay,8.789,4.1,"Sumatra eastern coast , West Kalimantan"
Madurese,6.807,3.3,"Madura island , East Java"
Batak,6.188,3.0,North Sumatra
Bugis,6.000,2.9,"South Sulawesi , East Kalimantan"
Minangkabau,5.569,2.7,"West Sumatra , Riau"
Betawi,5.157,2.5,"Jakarta , Banten , West Java"
Banjarese,4.800,2.3,"South Kalimantan , East Kalimantan"
Bantenese,4.331,2.1,"Banten , West Java"
Acehnese,4.000,1.9,Aceh
Balinese,3.094,1.5,Bali
Dayak,3.009,1.5,"North Kalimantan , West Kalimantan , Central Kalimantan"
Sasak,3.000,1.4,West Nusa Tenggara
Makassarese,2.063,1.0,South Sulawesi
Cirebonese,1.856,0.9,"West Java , Central Java"
