Date,Name,Moving from,Moving to,Fee
"July 1 , 2009",Didier Dheedene,Germinal Beerschot,Cappellen,Free
"July 1 , 2009",Sergio Hellings,Westerlo,Roeselare,Undisclosed
"July 1 , 2009",Carlos Hernández,Valencia B,Mouscron,Undisclosed
"July 1 , 2009",Bertrand Laquait,Charleroi,Croix de Savoie,Undisclosed
"July 1 , 2009",Björn Smits,Roeselare,Cappellen,Free
"July 2 , 2009",Grégory Dufer,Tubize,Standard,Loan Return
"July 2 , 2009",Collins John,Fulham,Roeselare,Undisclosed
"July 2 , 2009",Tiago,Vitória Guimarães,Standard,Free
"July 2 , 2009",Moussa Traoré,CF Ouagadougou,Standard,Loan
"July 3 , 2009",Jonathan Aspas,Piacenza,Mouscron,Undisclosed
"July 3 , 2009",Salim Toama,Standard,Larissa,Undisclosed
"July 5 , 2009",Antonio Ghomsi,Siena,Mechelen,Loan
"July 5 , 2009",Pieter Mbemba,Mechelen,Sivasspor,Undisclosed
"July 6 , 2009",Sander Debroux,Sint-Truiden,OH Leuven,Undisclosed
"July 6 , 2009",Denis Odoi,OH Leuven,Sint-Truiden,Undisclosed
"July 6 , 2009",Kurt Weuts,Sint-Truiden,OH Leuven,Loan
"July 7 , 2009",Oguchi Onyewu,Standard Liège,AC Milan,Free
"July 7 , 2009",Sulejman Smajić,Dender EH,Lokeren,Undisclosed
"July 8 , 2009",Tomo Šokota,Dinamo Zagreb,Lokeren,Undisclosed
"July 8 , 2009",Nicolas Timmermans,Westerlo,Mons,Undisclosed
