City,County,Hospital,Beds available,Beds licensed,Trauma level
Albany,Linn,Samaritan Albany General Hospital,64,76,3
Ashland,Jackson,Ashland Community Hospital,37,49,4
Astoria,Clatsop,Columbia Memorial Hospital,25,49,3
Baker City,Baker,St. Elizabeth Health Services,25,36,4
Bandon,Coos,Southern Coos Hospital and Health Center,19,21,3
Bend,Deschutes,St. Charles Medical Center - Bend,226,231,2
Burns,Harney,Harney District Hospital,25,25,4
Clackamas,Clackamas,Kaiser Sunnyside Medical Center,182,196,
Coos Bay,Coos,Bay Area Hospital,129,172,3
Coquille,Coos,Coquille Valley Hospital,25,25,4
Corvallis,Benton,Good Samaritan Regional Medical Center,134,188,2
Cottage Grove,Lane,Cottage Grove Community Hospital,14,14,
Dallas,Polk,West Valley Hospital,6,15,4
Enterprise,Wallowa,Wallowa Memorial Hospital,25,25,4
Eugene,Lane,Sacred Heart Medical Center University District,412,432,
Florence,Lane,Peace Harbor Hospital,21,21,4
Forest Grove,Washington,Tuality Forest Grove Hospital,144,215,
Gold Beach,Curry,Curry General Hospital,24,24,4
Grants Pass,Josephine,Three Rivers Medical Center,98,125,3
Gresham,Multnomah,Legacy Mount Hood Medical Center,80,115,
