No,Position,Player,Nation
1,Goalkeeper,Jeff Attinella,United States
2,Defender,Jorge Moreira ( on loan from River Plate ),Paraguay
4,Defender,Jorge Villafaña,United States
7,Forward,Andy Polo,Peru
8,Midfielder,Diego Valeri,Argentina
9,Forward,Felipe Mora ( on loan from UNAM ),Chile
10,Midfielder,Sebastián Blanco ( DP ),Argentina
11,Forward,Jarosław Niezgoda ( DP ),Poland
12,Goalkeeper,Steve Clark,United States
13,Defender,Dario Župarić,Croatia
14,Midfielder,Andrés Flores,El Salvador
17,Forward,Jeremy Ebobisse ( GA ),United States
18,Defender,Julio Cascante,Costa Rica
19,Midfielder,Tomás Conechny,Argentina
21,Midfielder,Diego Chará,Colombia
22,Midfielder,Cristhian Paredes,Paraguay
23,Forward,Yimmi Chará ( DP ),Colombia
25,Defender,Bill Tuiloma,New Zealand
27,Forward,Dairon Asprilla,Colombia
30,Midfielder,Eryk Williamson ( HG ),United States
