Name,Country and territory,Place,Floor area
New Century Global Center,China,Chengdu,"1,760,000 m ( 18,900,000 sq ft )"
Dubai International Airport Terminal 3,United Arab Emirates,Dubai,"1,713,000 m ( 18,440,000 sq ft )"
Abraj Al-Bait Endowment,Saudi Arabia,Mecca,"1,575,815 m ( 16,961,930 sq ft )"
Istanbul Airport Main Terminal,Turkey,Istanbul,"1,440,000 m ( 15,500,000 sq ft )"
CentralWorld,Thailand,Bangkok,"1,024,000 m ( 11,020,000 sq ft )"
Aalsmeer Flower Auction,Netherlands,Aalsmeer,"990,000 m ( 10,700,000 sq ft )"
Beijing Capital International Airport Terminal 3,China,Beijing,"986,000 m ( 10,610,000 sq ft )"
The Venetian Macao,Macau,Macau,"980,000 m ( 10,500,000 sq ft )"
Sands Cotai Central,Macau,Macau,"890,000 m ( 9,600,000 sq ft )"
Ciputra World Surabaya,Indonesia,Surabaya,"750,000 m ( 8,100,000 sq ft )"
Beijing Daxing International Airport Terminal,China,Beijing,"700,000 m ( 7,500,000 sq ft )"
Berjaya Times Square,Malaysia,Kuala Lumpur,"700,000 m ( 7,500,000 sq ft )"
Central Park Jakarta Complex,Indonesia,Jakarta,"660,000 m ( 7,100,000 sq ft )"
Perpa Trade Center,Turkey,Istanbul,"660,000m ( 7,100,000 sq ft )"
Guangzhou Baiyun International Airport Terminal 2,China,Guangzhou,"658,700 m ( 7,090,000 sq ft )"
Kemang Village,Indonesia,Jakarta,"650,000 m ( 7,000,000 sq ft )"
Gandaria City,Indonesia,Jakarta,"650,000 m ( 7,000,000 sq ft )"
The Palazzo,United States,"Las Vegas , Nevada","645,581 m ( 6,948,980 sq ft )"
Grand Indonesia,Indonesia,Jakarta,"640,000 m ( 6,900,000 sq ft )"
The Pentagon,United States,"Arlington County , Virginia","610,000 m ( 6,600,000 sq ft )"
