Rank,Mark,Athlete,Date,Location
1,82.98 m ( 272 ft 2 ⁄ 4 in ),Anita Włodarczyk ( POL ),28 August 2016,Warsaw
2,79.42 m ( 260 ft 6 ⁄ 4 in ),Betty Heidler ( GER ),21 May 2011,Halle
3,78.51 m ( 257 ft 6 ⁄ 4 in ),Tatyana Lysenko ( RUS ),05 July 2012,Cheboksary
4,78.24 m ( 256 ft 8 ⁄ 4 in ),DeAnna Price ( USA ),27 July 2019,Des Moines
5,77.78 m ( 255 ft 2 in ),Gwen Berry ( USA ),8 June 2018,Chorzów
6,77.68 m ( 254 ft 10 ⁄ 4 in ),Wang Zheng ( CHN ),29 March 2014,Chengdu
7,77.33 m ( 253 ft 8 ⁄ 4 in ),Zhang Wenxiu ( CHN ),28 September 2014,Incheon
8,77.32 m ( 253 ft 8 in ),Aksana Miankova ( BLR ),29 June 2008,Minsk
9,77.26 m ( 253 ft 5 ⁄ 2 in ),Gulfiya Agafonova ( RUS ),12 June 2006,Tula
10,77.13 m ( 253 ft ⁄ 2 in ),Oksana Kondratyeva ( RUS ),30 June 2013,Zhukovskiy
11,76.90 m ( 252 ft 3 ⁄ 2 in ),Martina Hrašnová ( SVK ),16 May 2009,Trnava
12,76.85 m ( 252 ft 1 ⁄ 2 in ),Malwina Kopron ( POL ),26 August 2017,Taipei
13,76.83 m ( 252 ft ⁄ 4 in ),Kamila Skolimowska ( POL ),11 May 2007,Doha
14,76.75 m ( 251 ft 9 ⁄ 2 in ),Brooke Andersen ( USA ),2 June 2019,Rathdrum
15,76.72 m ( 251 ft 8 ⁄ 4 in ),Mariya Bespalova ( RUS ),23 June 2012,Zhukovsky
16,76.66 m ( 251 ft 6 in ),Volha Tsander ( BLR ),23 June 2006,Minsk
17,76.63 m ( 251 ft 4 ⁄ 4 in ),Yekaterina Khoroshikh ( RUS ),23 June 2006,Zhukovsky
18,76.62 m ( 251 ft 4 ⁄ 2 in ),Yipsi Moreno ( CUB ),9 September 2008,Zagreb
19,76.56 m ( 251 ft 2 in ),Alena Matoshka ( BLR ),12 June 2012,Minsk
20,76.35 m ( 250 ft 5 ⁄ 4 in ),Joanna Fiodorow ( POL ),28 September 2019,Doha
