Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Reggaeton,Emilia Attias,48,Miguel Negro Piñera,23
Disco,Evangelina Anderson Lola Ponce,47,Victoria Vanucci,29
Salsa,Sofía Pachano Emilia Attias Jesica Cirio,48,Lorenzo Lamas Fabio La Mole Moli,29
Axé music,Emilia Attias,48,Jimena Monteverde,29
Argentine cumbia,Evangelina Anderson,48,Zaira Nara,26
Adagio,Sofía Pachano Lola Ponce,48,Mariana Niña Loly Antoniale Virginia Gallardo,33
Hip-hop,Emilia Attias,48,Paola Miranda,27
Cha-cha-cha,Silvina Escudero Evangelina Anderson,47,Jimena Monteverde,30
Latin pop,Matías Alé,47,Zaira Nara Fabio La Mole Moli,30
Cuarteto,Lola Ponce,47,Luciana Salazar,30
Latin adagio,Sofía Pachano Evangelina Anderson,49,Sarah Paddy Jones,31
Arabic music,Silvina Escudero,50,Fabio La Mole Moli,32
Pole dance,Andrea Ghidone Flavio Mendoza Sofía Zámolo,50,Mariana Niña Loly Antoniale Paula Chaves,36
Lambada,Flavio Mendoza Silvina Escudero Vanina Escudero,46,Paula Chaves,32
Music video,Emilia Attias,49,Amalia Granata Fabio La Mole Moli Belén Francese,35
Adagio from telenovelas,Matías Alé,47,Juana Repetto Jesica Cirio,36
Merengue,Andrea Ghidone Silvina Escudero,48,Belén Francese,32
Strip dance,Sofía Pachano,49,Virginia Gallardo Silvina Escudero,38
Dancing in the rain,Flavio Mendoza,44,Emilia Attias,30
Aero dance,Paula Chaves,44,Belén Francese,30
